row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất VND,Phần mềm máy tính VND,Khác VND,Cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Khác VND,numeric__Cộng VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Tại ngày 01/01/2024,Nguyên giá: > Tại ngày 01/01/2024,Tại ngày 01/01/2024,463.043.599.175,21.261.223.388,2.994.843.027,487.299.665.590,463043599175.0,21261223388.0,2994843027.0,487299665590.0
Đầu tư XDCB hoàn thành,Nguyên giá: > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,42.485.223.912,-,-,42.485.223.912,42485223912.0,,,42485223912.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,1.650.739.940,-,1.650.739.940,,1650739940.0,,1650739940.0
Giảm do ngừng hợp nhất,Nguyên giá: > Giảm do ngừng hợp nhất,Giảm do ngừng hợp nhất,(9.069.505.000),(190.000.000),-,(9.259.505.000),-9069505000.0,-190000000.0,,-9259505000.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(5.322.286.280),-,(5.322.286.280),,-5322286280.0,,-5322286280.0
Tại ngày 31/12/2024,Nguyên giá: > Tại ngày 31/12/2024,Tại ngày 31/12/2024,496.459.318.087,17.399.677.048,2.994.843.027,516.853.838.162,496459318087.0,17399677048.0,2994843027.0,516853838162.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Tại ngày 01/01/2024,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2024,Tại ngày 01/01/2024,138.783.087.081,16.348.350.887,2.075.310.233,157.206.748.201,138783087081.0,16348350887.0,2075310233.0,157206748201.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,9.847.099.688,1.451.786.736,61.611.160,11.360.497.584,9847099688.0,1451786736.0,61611160.0,11360497584.0
Giảm do ngừng hợp nhất,Giá trị hao mòn lũy kế: > Giảm do ngừng hợp nhất,Giảm do ngừng hợp nhất,(2.303.614.497),(190.000.000),-,(2.493.614.497),-2303614497.0,-190000000.0,,-2493614497.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(5.322.286.280),-,(5.322.286.280),,-5322286280.0,,-5322286280.0
Tại ngày 31/12/2024,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2024,Tại ngày 31/12/2024,146.326.572.272,12.287.851.343,2.136.921.393,160.751.345.008,146326572272.0,12287851343.0,2136921393.0,160751345008.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Tại ngày 01/01/2024,Giá trị còn lại: > Tại ngày 01/01/2024,Tại ngày 01/01/2024,324.260.512.094,4.912.872.501,919.532.794,330.092.917.389,324260512094.0,4912872501.0,919532794.0,330092917389.0
Tại ngày 31/12/2024,Giá trị còn lại: > Tại ngày 31/12/2024,Tại ngày 31/12/2024,350.132.745.815,5.111.825.705,857.921.634,356.102.493.154,350132745815.0,5111825705.0,857921634.0,356102493154.0
