row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Chênh lệch đánh giá lại tài sản,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch đánh giá lại tài sản,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
Tại ngày 01/01/2023,Tại ngày 01/01/2023,Tại ngày 01/01/2023,3.765.000,85.757,252.861,(90),(592.863),734.637,9.662,1.640.308,3.593.740,9.489.012,3765000.0,85757.0,252861.0,-90.0,-592863.0,734637.0,9662.0,1640308.0,3593740.0,9489012.0
Tăng vốn từ quỹ đầu tư phát triển,Tăng vốn từ quỹ đầu tư phát triển,Tăng vốn từ quỹ đầu tư phát triển,-,-,145.652,-,-,(145.652),-,-,-,-,,,145652.0,,,-145652.0,,,,
Tăng vốn từ chia cổ tức bằng cổ phiếu,Tăng vốn từ chia cổ tức bằng cổ phiếu,Tăng vốn từ chia cổ tức bằng cổ phiếu,-,-,115.430,-,-,-,-,(115.430),-,-,,,115430.0,,,,,-115430.0,,
Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,-,-,-,-,-,-,-,832.382,565.458,1.397.840,,,,,,,,832382.0,565458.0,1397840.0
Trích lập quỹ thuộc nguồn vốn,Trích lập quỹ thuộc nguồn vốn,Trích lập quỹ thuộc nguồn vốn,-,-,-,-,-,168.562,-,(168.562),-,-,,,,,,168562.0,,-168562.0,,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,(64.181),(47.827),(112.008),,,,,,,,-64181.0,-47827.0,-112008.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,-,(414.141),(288.087),(702.228),,,,,,,,-414141.0,-288087.0,-702228.0
Tăng/(giảm) khác từ công ty liên kết,Tăng/(giảm) khác từ công ty liên kết,Tăng/(giảm) khác từ công ty liên kết,-,-,-,-,-,-,-,(5.689),-,(5.689),,,,,,,,-5689.0,,-5689.0
Tăng/(giảm) do thay đổi tỷ lệ sở hữu,Tăng/(giảm) do thay đổi tỷ lệ sở hữu,Tăng/(giảm) do thay đổi tỷ lệ sở hữu,-,-,-,-,-,-,-,2.611,(560),2.051,,,,,,,,2611.0,-560.0,2051.0
Tăng/(giảm) do ngừng hợp nhất,Tăng/(giảm) do ngừng hợp nhất,Tăng/(giảm) do ngừng hợp nhất,-,-,-,-,-,-,-,5.519,3.106,8.625,,,,,,,,5519.0,3106.0,8625.0
Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,-,834,-,-,-,-,-,-,1.141,1.975,,834.0,,,,,,,1141.0,1975.0
Tăng/(giảm) khác,Tăng/(giảm) khác,Tăng/(giảm) khác,-,(32),-,-,-,-,-,(3.320),(2.783),(6.135),,-32.0,,,,,,-3320.0,-2783.0,-6135.0
Tại ngày 01/01/2024,Tại ngày 01/01/2024,Tại ngày 01/01/2024,3.765.000,86.559,513.943,(90),(592.863),757.547,9.662,1.709.497,3.824.188,10.073.443,3765000.0,86559.0,513943.0,-90.0,-592863.0,757547.0,9662.0,1709497.0,3824188.0,10073443.0
Tăng vốn từ phát hành cổ phiếu (a),Tăng vốn từ phát hành cổ phiếu (a),Tăng vốn từ phát hành cổ phiếu (a),-,-,-,-,-,-,-,-,578.588,578.588,,,,,,,,,578588.0,578588.0
Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,-,-,-,-,-,-,-,967.842,651.554,1.619.396,,,,,,,,967842.0,651554.0,1619396.0
Trích lập quỹ thuộc nguồn vốn,Trích lập quỹ thuộc nguồn vốn,Trích lập quỹ thuộc nguồn vốn,-,-,-,-,-,193.726,-,(193.726),-,-,,,,,,193726.0,,-193726.0,,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,(66.666),(53.915),(120.581),,,,,,,,-66666.0,-53915.0,-120581.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,-,(451.790),(340.741),(792.531),,,,,,,,-451790.0,-340741.0,-792531.0
Tăng/(giảm) khác từ công ty liên kết,Tăng/(giảm) khác từ công ty liên kết,Tăng/(giảm) khác từ công ty liên kết,-,-,-,-,-,-,-,26.409,-,26.409,,,,,,,,26409.0,,26409.0
Tăng/(giảm) do ngừng hợp nhất (b),Tăng/(giảm) do ngừng hợp nhất (b),Tăng/(giảm) do ngừng hợp nhất (b),-,-,-,-,-,(31.898),-,-,(440.948),(472.846),,,,,,-31898.0,,,-440948.0,-472846.0
