row_label_raw,row_label_full,col_0,Tại ngày31/12/2024VND,Tại ngày01/01/2024VND,numeric__Tại ngày31/12/2024VND,numeric__Tại ngày01/01/2024VND
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Công cụ dụng cụ,Ngắn hạn: > Công cụ dụng cụ,Công cụ dụng cụ,1.006.727.461,2.148.035.869,1006727461.0,2148035869.0
Các khoản khác,Ngắn hạn: > Các khoản khác,Các khoản khác,67.944.732.567,52.712.246.120,67944732567.0,52712246120.0
Cộng,Ngắn hạn: > Cộng,Cộng,68.951.460.028,54.860.281.989,68951460028.0,54860281989.0
Dải hạn:,Dải hạn:,Dải hạn:,Dải hạn:,Dải hạn:,,
Trả trước tiền đến bù giải phóng mặt bằng khu công nghiệp Thạnh Phú,Dải hạn: > Trả trước tiền đến bù giải phóng mặt bằng khu công nghiệp Thạnh Phú,Trả trước tiền đến bù giải phóng mặt bằng khu công nghiệp Thạnh Phú,351.387.655.995,345.439.876.951,351387655995.0,345439876951.0
Tiền thuê đất trả trước,Dải hạn: > Tiền thuê đất trả trước,Tiền thuê đất trả trước,234.808.466.392,937.818.282.405,234808466392.0,937818282405.0
"Công cụ, dụng cụ","Dải hạn: > Công cụ, dụng cụ","Công cụ, dụng cụ",6.478.508.342,11.271.671.636,6478508342.0,11271671636.0
Chi phí trả trước dài hạn khác,Dải hạn: > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,371.356.484.913,330.535.382.869,371356484913.0,330535382869.0
Cộng,Dải hạn: > Cộng,Cộng,964.031.115.642,1.625.065.213.861,964031115642.0,1625065213861.0
