row_label_raw,row_label_full,col_0,Mã số,Tại ngày 01/01/2024 VND > (Được báo cáo lại),Tại ngày 31/12/2023 VND > (Đã được báo cáo trước đây),numeric__Mã số,numeric__Tại ngày 01/01/2024 VND > (Được báo cáo lại),numeric__Tại ngày 31/12/2023 VND > (Đã được báo cáo trước đây)
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,153,5.808.957.076,8.174.776.310,153.0,5808957076.0,8174776310.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,189.034.094.817,159.036.190.900,315.0,189034094817.0,159036190900.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,1.709.496.932.586,1.741.694.749.081,421.0,1709496932586.0,1741694749081.0
LNST chưa phân phối lũy kế đến CK trước,LNST chưa phân phối lũy kế đến CK trước,LNST chưa phân phối lũy kế đến CK trước,421a,877.114.672.051,909.099.948.816,,877114672051.0,909099948816.0
LNST chưa phân phối kỳ này,LNST chưa phân phối kỳ này,LNST chưa phân phối kỳ này,421b,832.382.260.535,832.594.800.265,,832382260535.0,832594800265.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,3.824.187.942.264,3.824.353.848.920,429.0,3824187942264.0,3824353848920.0
