row_label_raw,row_label_full,CHỈ TIÊU,Mã số,TM,Năm 2024,Năm 2023,numeric__Mã số,numeric__TM,numeric__Năm 2024,numeric__Năm 2023
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1,5.1,5.873.085.755.439,5.446.697.369.421,1.0,51.0,5873085755439.0,5446697369421.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2,,2.008.366.752,11.799.973,2.0,,2008366752.0,11799973.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,5.871.077.388.687,5.446.685.569.448,10.0,,5871077388687.0,5446685569448.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,5.2,3.490.189.535.873,3.394.535.044.246,11.0,52.0,3490189535873.0,3394535044246.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,2.380.887.852.814,2.052.150.525.202,20.0,,2380887852814.0,2052150525202.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,5.3,190.333.030.161,264.327.607.046,21.0,53.0,190333030161.0,264327607046.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,5.4,112.414.030.980,161.910.587.000,22.0,54.0,112414030980.0,161910587000.0
"Trong đó, chi phí lãi vay","Trong đó, chi phí lãi vay","Trong đó, chi phí lãi vay",23,,103.012.674.827,117.308.293.891,23.0,,103012674827.0,117308293891.0
8. Phần lãi hoặc lỗ trong công ty liên kết,8. Phần lãi hoặc lỗ trong công ty liên kết,8. Phần lãi hoặc lỗ trong công ty liên kết,24,,86.559.312.403,17.883.303.508,24.0,,86559312403.0,17883303508.0
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,25,5.5,120.309.147.977,108.965.708.416,25.0,55.0,120309147977.0,108965708416.0
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,26,5.6,470.964.717.592,432.995.623.588,26.0,56.0,470964717592.0,432995623588.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Lợi nhuận thuần từ hoạt động kinh doanh,30,,1.954.092.298.829,1.630.489.516.752,30.0,,1954092298829.0,1630489516752.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,,24.225.072.314,36.772.455.771,31.0,,24225072314.0,36772455771.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,32,,31.434.423.277,9.559.752.401,32.0,,31434423277.0,9559752401.0
14. Lợi nhuận khác,14. Lợi nhuận khác,14. Lợi nhuận khác,40,,(7.209.350.963),27.212.703.370,40.0,,-7209350963.0,27212703370.0
15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,50,,1.946.882.947.866,1.657.702.220.122,50.0,,1946882947866.0,1657702220122.0
16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,51,5.8,332.932.163.101,280.376.818.261,51.0,58.0,332932163101.0,280376818261.0
17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,52,5.9,(5.445.335.680),(20.515.135.624),52.0,59.0,-5445335680.0,-20515135624.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,1.619.396.120.445,1.397.840.537.485,60.0,,1619396120445.0,1397840537485.0
19. Lợi nhuận sau thuế của công ty mẹ,19. Lợi nhuận sau thuế của công ty mẹ,19. Lợi nhuận sau thuế của công ty mẹ,61,,967.841.842.314,832.382.260.535,61.0,,967841842314.0,832382260535.0
20. Lợi nhuận sau thuế của cổ đông không kiểm soát,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,651.554.278.131,565.458.276.950,62.0,,651554278131.0,565458276950.0
21. Lãi cơ bản trên cổ phiếu,21. Lãi cơ bản trên cổ phiếu,21. Lãi cơ bản trên cổ phiếu,70,4.22.3,2.394,2.040,70.0,4223.0,2394.0,2040.0
22. Lãi suy giảm trên cổ phiếu,22. Lãi suy giảm trên cổ phiếu,22. Lãi suy giảm trên cổ phiếu,71,4.22.3,2.394,2.040,71.0,4223.0,2394.0,2040.0
