row_label_raw,row_label_full,col_0,Mã số,Năm 2023VND > (Được báo cáo lại),Năm 2023VND > (Đã được báo cáotrước đây),numeric__Mã số,numeric__Năm 2023VND > (Được báo cáo lại),numeric__Năm 2023VND > (Đã được báo cáotrước đây)
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,280.376.818.261,279.998.371.875,51.0,280376818261.0,279998371875.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,1.397.840.537.485,1.398.218.983.871,60.0,1397840537485.0,1398218983871.0
Lợi nhuận sau thuế của công ty mẹ,Lợi nhuận sau thuế của công ty mẹ,Lợi nhuận sau thuế của công ty mẹ,61,832.382.260.535,832.594.800.265,61.0,832382260535.0,832594800265.0
Lợi nhuận sau thuế của cổ đôngkhông kiểm soát,Lợi nhuận sau thuế của cổ đôngkhông kiểm soát,Lợi nhuận sau thuế của cổ đôngkhông kiểm soát,62,565.458.276.950,565.624.183.606,62.0,565458276950.0,565624183606.0
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,70,2.040,2.041,70.0,2040.0,2041.0
Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,71,2.040,2.041,71.0,2040.0,2041.0
