row_label_raw,row_label_full,col_0,Kinh doanhkhu công nghiệp > Năm 2024,Kinh doanhkhu công nghiệp > Năm 2023,Kinh doanhnhà và ha tầng > Năm 2024,Kinh doanhnhà và ha tầng > Năm 2023,Kinh doanhcung cấp nước sach > Năm 2024,Kinh doanhcung cấp nước sach > Năm 2023,Kinh doanhdịch vụ cảng > Năm 2024,Kinh doanhdịch vụ cảng > Năm 2023,Kinh doanhxử lý chất thải > Năm 2024,Kinh doanhxử lý chất thải > Năm 2023,Khác > Năm 2024,Khác > Năm 2023,Đơn vị tính: Triệu đồngTổng công > Năm 2024,Đơn vị tính: Triệu đồngTổng công > Năm 2023,numeric__Kinh doanhkhu công nghiệp > Năm 2024,numeric__Kinh doanhkhu công nghiệp > Năm 2023,numeric__Kinh doanhnhà và ha tầng > Năm 2024,numeric__Kinh doanhnhà và ha tầng > Năm 2023,numeric__Kinh doanhcung cấp nước sach > Năm 2024,numeric__Kinh doanhcung cấp nước sach > Năm 2023,numeric__Kinh doanhdịch vụ cảng > Năm 2024,numeric__Kinh doanhdịch vụ cảng > Năm 2023,numeric__Kinh doanhxử lý chất thải > Năm 2024,numeric__Kinh doanhxử lý chất thải > Năm 2023,numeric__Khác > Năm 2024,numeric__Khác > Năm 2023,numeric__Đơn vị tính: Triệu đồngTổng công > Năm 2024,numeric__Đơn vị tính: Triệu đồngTổng công > Năm 2023
Chi phí thuế TNDN hoãn lại,Chi phí không phân bổ > Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,,,,,,,,,,5.445,20.515,,,,,,,,,,,,,5445.0,20515.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chi phí không phân bổ > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,1.619.396,1.397.840,,,,,,,,,,,,,1619396.0,1397840.0
Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,,,,,,,,,,,,,,
,,,Kinh doanhkhu công nghiệp,Kinh doanhkhu công nghiệp,Kinh doanhnhà và ha tầng,Kinh doanhnhà và ha tầng,Kinh doanhcung cấp nước sach,Kinh doanhcung cấp nước sach,Kinh doanhdịch vụ cảng,Kinh doanhdịch vụ cảng,Kinh doanhxử lý chất thải,Kinh doanhxử lý chất thải,Khác,Khác,Đơn vị tính: Triệu đồngTổng công,Đơn vị tính: Triệu đồngTổng công,,,,,,,,,,,,,,
,,,Tại ngày31/12/2024,Tại ngày01/01/2024,Tại ngày31/12/2024,Tại ngày01/01/2024,Tại ngày31/12/2024,Tại ngày01/01/2024,Tại ngày31/12/2024,Tại ngày01/01/2024,Tại ngày31/12/2024,Tại ngày01/01/2024,Tại ngày31/12/2024,Tại ngày01/01/2024,Tại ngày31/12/2024,Tại ngày01/01/2024,,,,,,,,,,,,,,
Tài sản không phân bổNợ phải trả khôngphân bổ,Các thông tin khác > Tài sản không phân bổNợ phải trả khôngphân bổ,Tài sản không phân bổNợ phải trả khôngphân bổ,,,,,,,,,,,,,21.104.200,23.278.796,,,,,,,,,,,,,21104200.0,23278796.0
Tài sản không phân bổNợ phải trả khôngphân bổ,Các thông tin khác > Tài sản không phân bổNợ phải trả khôngphân bổ,Tài sản không phân bổNợ phải trả khôngphân bổ,,,,,,,,,,,,,10.194.364,13.205.352,,,,,,,,,,,,,10194364.0,13205352.0
,,,Kinh doanhkhu công nghiệp,Kinh doanhkhu công nghiệp,Kinh doanhnhà và ha tầng,Kinh doanhnhà và ha tầng,Kinh doanhcung cấp nước sach,Kinh doanhcung cấp nước sach,Kinh doanhdịch vụ cảng,Kinh doanhdịch vụ cảng,Kinh doanhxử lý chất thải,Kinh doanhxử lý chất thải,Khác,Khác,Đơn vị tính: Triệu đồngTổng công,Đơn vị tính: Triệu đồngTổng công,,,,,,,,,,,,,,
,,,Năm 2024,Năm 2023,Năm 2024,Năm 2023,Năm 2024,Năm 2023,Năm 2024,Năm 2023,Năm 2024,Năm 2023,Năm 2024,Năm 2023,Năm 2024,Năm 2023,,,,,,,,,,,,,,
Chi phí mua sắm tài sảnChi phí khấu hao,Chi phí mua sắm tài sảnChi phí khấu hao,Chi phí mua sắm tài sảnChi phí khấu hao,,,,,,,,,,,,,(1.423.784)786.327,(2.211.584)907.958,,,,,,,,,,,,,,
