row_label_raw,row_label_full,col_0,Tại ngày 31/12/2024VND,Tại ngày 31/12/2024VND_1,Tại ngày 01/01/2024VND,Tại ngày 01/01/2024VND_1,numeric__Tại ngày 31/12/2024VND,numeric__Tại ngày 31/12/2024VND_1,numeric__Tại ngày 01/01/2024VND,numeric__Tại ngày 01/01/2024VND_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",49.741.199.331,(387.980.858),46.249.274.129,(133.181.950),49741199331.0,-387980858.0,46249274129.0,-133181950.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",6.512.908.271,-,2.428.912.281,-,6512908271.0,,2428912281.0,
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,2.100.583.025.274,(1.493.081.830),2.057.957.578.765,-,2100583025274.0,-1493081830.0,2057957578765.0,
"Dự án khu công nghiệp, khu đô thị Châu Đức","Dự án khu công nghiệp, khu đô thị Châu Đức","Dự án khu công nghiệp, khu đô thị Châu Đức",1.512.856.063.865,-,1.473.094.987.218,-,1512856063865.0,,1473094987218.0,
Dự án khu dân cư Hữu Phước,Dự án khu dân cư Hữu Phước,Dự án khu dân cư Hữu Phước,181.793.249.230,-,147.827.347.260,-,181793249230.0,,147827347260.0,
Các dự án khác,Các dự án khác,Các dự án khác,405.933.712.179,(1.493.081.830),437.035.244.287,-,405933712179.0,-1493081830.0,437035244287.0,
Thành phẩm,Thành phẩm,Thành phẩm,55.471.886.663,-,46.684.561.253,-,55471886663.0,,46684561253.0,
Hàng hóa,Hàng hóa,Hàng hóa,2.598.811.503,-,1.788.285.868,-,2598811503.0,,1788285868.0,
Cộng,Cộng,Cộng,2.214.907.831.042,(1.881.062.688),2.155.108.612.296,(133.181.950),2214907831042.0,-1881062688.0,2155108612296.0,-133181950.0
