row_label_raw,row_label_full,col_0,Mã số,Năm 2023VND > (Được báo cáolại),Năm 2023VND > (Đã được báo cáotrước đây),numeric__Mã số,numeric__Năm 2023VND > (Được báo cáolại),numeric__Năm 2023VND > (Đã được báo cáotrước đây)
Các khoản dự phòng,Các khoản dự phòng,Các khoản dự phòng,03,50.221.426.406,57.107.065.698,3.0,50221426406.0,57107065698.0
"Tăng, giảm các khoản phải trả (không kểlãi vay phải trả, thuế thu nhập doanh nghiệpphải nộp)","Tăng, giảm các khoản phải trả (không kểlãi vay phải trả, thuế thu nhập doanh nghiệpphải nộp)","Tăng, giảm các khoản phải trả (không kểlãi vay phải trả, thuế thu nhập doanh nghiệpphải nộp)",11,253.772.881.603,248.193.146.421,11.0,253772881603.0,248193146421.0
Tiền lãi vay đã trả,Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(117.688.064.068),(118.993.968.178),14.0,-117688064068.0,-118993968178.0
