row_label_raw,row_label_full,Khoản mục,"Chỉ phí đền bù, giải tỏa VND",Cơ sở hạ tầng VND,"Nhà cửa, vật kiến trúc VND","Phương tiện vận tải, truyền dẫn VND",BDS đầu tư khác VND,Cộng VND,"numeric__Chỉ phí đền bù, giải tỏa VND",numeric__Cơ sở hạ tầng VND,"numeric__Nhà cửa, vật kiến trúc VND","numeric__Phương tiện vận tải, truyền dẫn VND",numeric__BDS đầu tư khác VND,numeric__Cộng VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Tại ngày 01/01/2024,Nguyên giá: > Tại ngày 01/01/2024,Tại ngày 01/01/2024,844.000.625.565,3.214.219.104.830,2.364.113.892.370,157.327.455.695,5.329.119.855,6.584.990.198.315,844000625565.0,3214219104830.0,2364113892370.0,157327455695.0,5329119855.0,6584990198315.0
Đầu tư XDCB hoàn thành,Nguyên giá: > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,-,176.061.192.347,74.066.572.385,2.094.991.666,44.000.000,252.266.756.398,,176061192347.0,74066572385.0,2094991666.0,44000000.0,252266756398.0
Giảm do ngừng hợp nhất,Nguyên giá: > Giảm do ngừng hợp nhất,Giảm do ngừng hợp nhất,(565.292.683.748),(704.218.795.193),(768.491.841.730),-,-,(2.038.003.320.671),-565292683748.0,-704218795193.0,-768491841730.0,,,-2038003320671.0
Giảm khác,Nguyên giá: > Giảm khác,Giảm khác,-,(145.663.903),(426.248.025),(52.385.185),-,(624.297.113),,-145663903.0,-426248025.0,-52385185.0,,-624297113.0
Tại ngày 31/12/2024,Nguyên giá: > Tại ngày 31/12/2024,Tại ngày 31/12/2024,278.707.941.817,2.685.915.838.081,1.669.262.375.000,159.370.062.176,5.373.119.855,4.798.629.336.929,278707941817.0,2685915838081.0,1669262375000.0,159370062176.0,5373119855.0,4798629336929.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Tại ngày 01/01/2024,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2024,Tại ngày 01/01/2024,375.439.025.061,961.489.023.180,910.881.363.967,62.893.736.217,4.295.102.542,2.314.998.250.967,375439025061.0,961489023180.0,910881363967.0,62893736217.0,4295102542.0,2314998250967.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,5.821.151.301,104.621.694.007,86.125.572.481,6.119.003.946,307.998.260,202.995.419.995,5821151301.0,104621694007.0,86125572481.0,6119003946.0,307998260.0,202995419995.0
Giảm do ngừng hợp nhất,Giá trị hao mòn lũy kế: > Giảm do ngừng hợp nhất,Giảm do ngừng hợp nhất,(141.952.802.042),(364.193.329.752),(247.642.694.404),-,-,(753.788.826.198),-141952802042.0,-364193329752.0,-247642694404.0,,,-753788826198.0
Giảm khác,Giá trị hao mòn lũy kế: > Giảm khác,Giảm khác,-,(145.663.903),-,-,-,(145.663.903),,-145663903.0,,,,-145663903.0
Tại ngày 31/12/2024,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2024,Tại ngày 31/12/2024,239.307.374.320,701.771.723.532,749.364.242.044,69.012.740.163,4.603.100.802,1.764.059.180.861,239307374320.0,701771723532.0,749364242044.0,69012740163.0,4603100802.0,1764059180861.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Tại ngày 01/01/2024,Giá trị còn lại: > Tại ngày 01/01/2024,Tại ngày 01/01/2024,468.561.600.504,2.252.730.081.650,1.453.232.528.403,94.433.719.478,1.034.017.313,4.269.991.947.348,468561600504.0,2252730081650.0,1453232528403.0,94433719478.0,1034017313.0,4269991947348.0
Tại ngày 31/12/2024,Giá trị còn lại: > Tại ngày 31/12/2024,Tại ngày 31/12/2024,39.400.567.497,1.984.144.114.549,919.898.132.956,90.357.322.013,770.019.053,3.034.570.156.068,39400567497.0,1984144114549.0,919898132956.0,90357322013.0,770019053.0,3034570156068.0
