row_label_raw,row_label_full,Danh sách các bên liên quan,Danh sách các bên liên quan_1,Mối quan hệ,numeric__Danh sách các bên liên quan_1,numeric__Mối quan hệ
1.,1.,1.,Công ty Cổ phần Sonadezi Giang Điền,Công ty liên kết(từ ngày 21 tháng 05 năm 2024),,
2.,2.,2.,Công ty Cổ phần Sơn Đồng Nai,Công ty liên kết,,
3.,3.,3.,Công ty Cổ phần Dịch vụ Căng Đồng Nai,Công ty liên kết,,
4.,4.,4.,Công ty Cổ phần Căng Long Thành,Công ty liên kết,,
5.,5.,5.,Công ty Cổ phần Xây dựng Đồng Nai,Công ty liên kết,,
6.,6.,6.,Công ty Cổ phần Dịch vụ và Xây dựng Cấp nước Đồng Nai,Công ty liên kết,,
7.,7.,7.,Trường Cao đẳng Công nghệ và Quản trị Sonadezi,Công ty liên kết,,
8.,8.,8.,Công ty Cổ phần Kinh doanh nhà Đồng Nai,Công ty liên kết,,
9.,9.,9.,Công ty TNHH Tiên Triết,Công ty có người liên quan của người quản lý,,
10.,10.,10.,"Hội đồng quản trị, Ban Tổng Giám đốc vàBan kiểm soát Tổng Công ty",Nhân sự quản lý chủ chốt,,
