row_label_raw,row_label_full,col_0,Tại ngày31/12/2024,Tại ngày01/01/2024,numeric__Tại ngày31/12/2024,numeric__Tại ngày01/01/2024
Ngoai tệ các loại:,Ngoai tệ các loại:,Ngoai tệ các loại:,Ngoai tệ các loại:,Ngoai tệ các loại:,,
USD,Ngoai tệ các loại: > USD,USD,"389.629,10","386.000,26",389629.1,386000.26
EUR,Ngoai tệ các loại: > EUR,EUR,"15,00","15,00",15.0,15.0
,,,Tại ngày31/12/2024VND,Tại ngày01/01/2024VND,,
Nợ khó đòi đã xử lý,Ngoai tệ các loại: > Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,9.350.415.561,9.350.415.561,9350415561.0,9350415561.0
