row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND","Phương tiệnvận tải, truyền dẫnVND","Thiết bị, dụng cụquản lýVND",TSCĐ hữu hìnhkhácVND,CộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND","numeric__Phương tiệnvận tải, truyền dẫnVND","numeric__Thiết bị, dụng cụquản lýVND",numeric__TSCĐ hữu hìnhkhácVND,numeric__CộngVND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Tại ngày 01/01/2024,Nguyên giá: > Tại ngày 01/01/2024,Tại ngày 01/01/2024,3.846.288.586.245,1.744.114.417.362,3.754.003.035.447,110.078.258.781,361.086.758.027,9.815.571.055.862,3846288586245.0,1744114417362.0,3754003035447.0,110078258781.0,361086758027.0,9815571055862.0
Đầu tư XDCB hoàn thành,Nguyên giá: > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,84.719.422.314,24.576.130.110,94.611.509.253,841.501.391,10.745.862.389,215.494.425.457,84719422314.0,24576130110.0,94611509253.0,841501391.0,10745862389.0,215494425457.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,1.245.933.992,8.186.479.014,10.772.326.855,4.584.421.899,2.827.472.255,27.616.634.015,1245933992.0,8186479014.0,10772326855.0,4584421899.0,2827472255.0,27616634015.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(170.017.273),(849.702.545),(5.858.497.126),-,-,(6.878.216.944),-170017273.0,-849702545.0,-5858497126.0,,,-6878216944.0
Giảm do ngừng hợp nhất,Nguyên giá: > Giảm do ngừng hợp nhất,Giảm do ngừng hợp nhất,(274.069.579.873),(987.611.016),(38.929.266.244),(21.354.701.858),(58.700.000),(335.399.858.991),-274069579873.0,-987611016.0,-38929266244.0,-21354701858.0,-58700000.0,-335399858991.0
Giảm khác,Nguyên giá: > Giảm khác,Giảm khác,(4.112.659.246),905.395.439,(452.089.536),-,(1.208.603.340),(4.867.956.683),-4112659246.0,905395439.0,-452089536.0,,-1208603340.0,-4867956683.0
Tại ngày 31/12/2024,Nguyên giá: > Tại ngày 31/12/2024,Tại ngày 31/12/2024,3.653.901.686.159,1.775.945.108.364,3.814.147.018.649,94.149.480.213,373.392.789.331,9.711.536.082.716,3653901686159.0,1775945108364.0,3814147018649.0,94149480213.0,373392789331.0,9711536082716.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Tại ngày 01/01/2024,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2024,Tại ngày 01/01/2024,1.875.704.266.635,1.205.801.141.651,1.933.611.505.056,91.135.020.144,106.304.513.585,5.212.556.447.071,1875704266635.0,1205801141651.0,1933611505056.0,91135020144.0,106304513585.0,5212556447071.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,145.515.850.996,122.877.417.618,210.081.463.001,4.110.201.738,28.260.456.514,510.845.389.867,145515850996.0,122877417618.0,210081463001.0,4110201738.0,28260456514.0,510845389867.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(61.150.257),(603.157.435),(5.858.497.126),-,-,(6.522.804.818),-61150257.0,-603157435.0,-5858497126.0,,,-6522804818.0
Giảm do ngừng hợp nhất,Giá trị hao mòn lũy kế: > Giảm do ngừng hợp nhất,Giảm do ngừng hợp nhất,(75.844.215.333),(216.754.008),(16.891.215.067),(10.423.784.640),(24.164.826),(103.400.133.874),-75844215333.0,-216754008.0,-16891215067.0,-10423784640.0,-24164826.0,-103400133874.0
Giảm khác,Giá trị hao mòn lũy kế: > Giảm khác,Giảm khác,-,-,-,(39.832.002),-,(39.832.002),,,,-39832002.0,,-39832002.0
Tại ngày 31/12/2024,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2024,Tại ngày 31/12/2024,1.945.314.752.041,1.327.858.647.826,2.120.943.255.864,84.781.605.240,134.540.805.273,5.613.439.066.244,1945314752041.0,1327858647826.0,2120943255864.0,84781605240.0,134540805273.0,5613439066244.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Tại ngày 01/01/2024,Giá trị còn lại: > Tại ngày 01/01/2024,Tại ngày 01/01/2024,1.970.584.319.610,538.313.275.711,1.820.391.530.391,18.943.238.637,254.782.244.442,4.603.014.608.791,1970584319610.0,538313275711.0,1820391530391.0,18943238637.0,254782244442.0,4603014608791.0
Tại ngày 31/12/2024,Giá trị còn lại: > Tại ngày 31/12/2024,Tại ngày 31/12/2024,1.708.586.934.118,448.086.460.538,1.693.203.762.785,9.367.874.973,238.851.984.058,4.098.097.016.472,1708586934118.0,448086460538.0,1693203762785.0,9367874973.0,238851984058.0,4098097016472.0
