row_label_raw,row_label_full,NGUỒN VỐN,Mã số,TM,Tại ngày 31/12/2024,Tại ngày 01/01/2024,numeric__Mã số,numeric__TM,numeric__Tại ngày 31/12/2024,numeric__Tại ngày 01/01/2024
D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,400,,10.909.836.210.176,10.073.443.685.560,400.0,,10909836210176.0,10073443685560.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,4.22,10.909.836.210.176,10.073.443.685.560,410.0,422.0,10909836210176.0,10073443685560.0
1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,411,,3.765.000.000.000,3.765.000.000.000,411.0,,3765000000000.0,3765000000000.0
Cố phiếu phố thông có quyền biểu quyết,Cố phiếu phố thông có quyền biểu quyết,Cố phiếu phố thông có quyền biểu quyết,411a,,3.765.000.000.000,3.765.000.000.000,,,3765000000000.0,3765000000000.0
2. Thắng dư vốn cổ phần,2. Thắng dư vốn cổ phần,2. Thắng dư vốn cổ phần,412,,86.559.686.249,86.559.686.249,412.0,,86559686249.0,86559686249.0
3. Vốn khác của chủ sở hữu,3. Vốn khác của chủ sở hữu,3. Vốn khác của chủ sở hữu,414,,513.942.926.002,513.942.926.002,414.0,,513942926002.0,513942926002.0
4. Cố phiếu quỹ,4. Cố phiếu quỹ,4. Cố phiếu quỹ,415,,(90.100.000),(90.100.000),415.0,,-90100000.0,-90100000.0
5. Chênh lệch đánh giá lại tài sản,5. Chênh lệch đánh giá lại tài sản,5. Chênh lệch đánh giá lại tài sản,416,,(592.863.242.704),(592.863.242.704),416.0,,-592863242704.0,-592863242704.0
6. Quỹ đầu tư phát triển,6. Quỹ đầu tư phát triển,6. Quỹ đầu tư phát triển,418,,919.375.128.877,757.547.224.229,418.0,,919375128877.0,757547224229.0
7. Quỹ khác thuộc vốn chủ sở hữu,7. Quỹ khác thuộc vốn chủ sở hữu,7. Quỹ khác thuộc vốn chủ sở hữu,420,,9.662.316.934,9.662.316.934,420.0,,9662316934.0,9662316934.0
8. Lợi nhuận sau thuế chưa phân phối,8. Lợi nhuận sau thuế chưa phân phối,8. Lợi nhuận sau thuế chưa phân phối,421,,1.989.800.972.829,1.709.496.932.586,421.0,,1989800972829.0,1709496932586.0
LNST chưa phân phối lũy kế đến CK trước,LNST chưa phân phối lũy kế đến CK trước,LNST chưa phân phối lũy kế đến CK trước,421a,,1.025.509.540.515,877.114.672.051,,,1025509540515.0,877114672051.0
LNST chưa phân phối kỳ này,LNST chưa phân phối kỳ này,LNST chưa phân phối kỳ này,421b,,964.291.432.314,832.382.260.535,,,964291432314.0,832382260535.0
9. Lợi ích cổ đông không kiểm soát,9. Lợi ích cổ đông không kiểm soát,9. Lợi ích cổ đông không kiểm soát,429,,4.218.448.521.989,3.824.187.942.264,429.0,,4218448521989.0,3824187942264.0
TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,440,,21.104.200.132.970,23.278.796.165.171,440.0,,21104200132970.0,23278796165171.0
