row_label_raw,row_label_full,col_0,Tại ngày31/12/2024VND > Giá trị,Tại ngày01/01/2024VND > Giá trị,numeric__Tại ngày31/12/2024VND > Giá trị,numeric__Tại ngày01/01/2024VND > Giá trị
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Phải thu khác bên liên quan - Xem thêm Mục 8,Ngắn hạn: > Phải thu khác bên liên quan - Xem thêm Mục 8,Phải thu khác bên liên quan - Xem thêm Mục 8,3.575.757.840,8.756.728.087,3575757840.0,8756728087.0
"Khoản tiền bồi thường về việc phê duyệt bồi thường, hỗ trợ thuộc dự án cụm công nghiệp Long Phước 1","Ngắn hạn: > Khoản tiền bồi thường về việc phê duyệt bồi thường, hỗ trợ thuộc dự án cụm công nghiệp Long Phước 1","Khoản tiền bồi thường về việc phê duyệt bồi thường, hỗ trợ thuộc dự án cụm công nghiệp Long Phước 1",33.264.795.796,33.051.409.000,33264795796.0,33051409000.0
Tạm ứng kinh phí bồi thường dự án khu công nghiệp Tân Đức,Ngắn hạn: > Tạm ứng kinh phí bồi thường dự án khu công nghiệp Tân Đức,Tạm ứng kinh phí bồi thường dự án khu công nghiệp Tân Đức,18.580.531.288,47.191.848.511,18580531288.0,47191848511.0
Dự thu lãi tiền gửi,Ngắn hạn: > Dự thu lãi tiền gửi,Dự thu lãi tiền gửi,30.585.490.429,43.892.805.951,30585490429.0,43892805951.0
"Kỹ quỹ, ký cược","Ngắn hạn: > Kỹ quỹ, ký cược","Kỹ quỹ, ký cược",433.227.931,15.079.542.316,433227931.0,15079542316.0
Phải thu khác,Ngắn hạn: > Phải thu khác,Phải thu khác,97.730.947.331,45.048.030.870,97730947331.0,45048030870.0
Cộng,Ngắn hạn: > Cộng,Cộng,184.170.750.615,193.020.364.735,184170750615.0,193020364735.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Đầu tư hợp tác kinh doanh với Công ty Cổ phần ICD Tân Cảng - Long Bình (*),Dài hạn: > Đầu tư hợp tác kinh doanh với Công ty Cổ phần ICD Tân Cảng - Long Bình (*),Đầu tư hợp tác kinh doanh với Công ty Cổ phần ICD Tân Cảng - Long Bình (*),89.623.016.855,91.163.717.577,89623016855.0,91163717577.0
"Kỹ quỹ, ký cược","Dài hạn: > Kỹ quỹ, ký cược","Kỹ quỹ, ký cược",34.747.626.627,25.838.963.248,34747626627.0,25838963248.0
"Kỹ quỹ, ký cược - Xem thêm Mục 8","Dài hạn: > Kỹ quỹ, ký cược - Xem thêm Mục 8","Kỹ quỹ, ký cược - Xem thêm Mục 8",1.393.963.494,-,1393963494.0,
Phải thu khác,Dài hạn: > Phải thu khác,Phải thu khác,6.476.578.400,10.156.670.939,6476578400.0,10156670939.0
Cộng,Dài hạn: > Cộng,Cộng,132.241.185.376,127.159.351.764,132241185376.0,127159351764.0
