row_label_raw,row_label_full,col_0,Vốn cổ phần đã góp,Thặng dư vốn,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần đã góp,numeric__Thặng dư vốn,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,3.957.111.670.000,611.603.430.000,(364.466.650.000),2.223.693.823,1.169.625.513.861,880.383.874.802,6.256.481.532.486,3957111670000.0,611603430000.0,-364466650000.0,2223693823.0,1169625513861.0,880383874802.0,6256481532486.0
- Tăng trong năm,Năm trước > - Tăng trong năm,- Tăng trong năm,800.000.000.000,377.461.000.000,-,-,-,-,1.177.461.000.000,800000000000.0,377461000000.0,,,,,1177461000000.0
- Lợi nhuận/(lỗ) thuần trong năm,Năm trước > - Lợi nhuận/(lỗ) thuần trong năm,- Lợi nhuận/(lỗ) thuần trong năm,-,-,-,-,611.910.605.619,(9.848.150.262),602.062.455.357,,,,,611910605619.0,-9848150262.0,602062455357.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,4.757.111.670.000,989.064.430.000,(364.466.650.000),2.223.693.823,1.781.536.119.480,870.535.724.540,8.036.004.987.843,4757111670000.0,989064430000.0,-364466650000.0,2223693823.0,1781536119480.0,870535724540.0,8036004987843.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,4.757.111.670.000,989.064.430.000,(364.466.650.000),2.223.693.823,1.781.536.119.480,870.535.724.540,8.036.004.987.843,4757111670000.0,989064430000.0,-364466650000.0,2223693823.0,1781536119480.0,870535724540.0,8036004987843.0
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,557.370.239.809,153.914.756.832,711.284.996.641,,,,,557370239809.0,153914756832.0,711284996641.0
- Giảm khác (*),Năm nay > - Giảm khác (*),- Giảm khác (*),-,-,-,-,(20.071.377.430),(106.128.622.570),(126.200.000.000),,,,,-20071377430.0,-106128622570.0,-126200000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,4.757.111.670.000,989.064.430.000,(364.466.650.000),2.223.693.823,2.318.834.981.859,918.321.858.802,8.621.089.984.484,4757111670000.0,989064430000.0,-364466650000.0,2223693823.0,2318834981859.0,918321858802.0,8621089984484.0
