row_label_raw,row_label_full,Số đầu năm,Năm nay > 870.535.724.540,Đơn vị tính: VND > 880.383.874.802,numeric__Năm nay > 870.535.724.540,numeric__Đơn vị tính: VND > 880.383.874.802
Lãi/(lỗ) thuộc về cổ đông không kiểm soát,Lãi/(lỗ) thuộc về cổ đông không kiểm soát,Lãi/(lỗ) thuộc về cổ đông không kiểm soát,153.914.756.832,(9.848.150.262),153914756832.0,-9848150262.0
Giảm khác (Thuyết minh số 20.1),Giảm khác (Thuyết minh số 20.1),Giảm khác (Thuyết minh số 20.1),(106.128.622.570),-,-106128622570.0,
Số cuối năm,Số cuối năm,Số cuối năm,918.321.858.802,870.535.724.540,918321858802.0,870535724540.0
