row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm > Giá trị,Đơn vị tính: VND > Dự phòng,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Số cuối năm > Giá trị,numeric__Đơn vị tính: VND > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm
Dự án Khu công nghiệp vàKhu đồ thị Tràng Cát (i),Dự án Khu công nghiệp vàKhu đồ thị Tràng Cát (i),Dự án Khu công nghiệp vàKhu đồ thị Tràng Cát (i),3.545.419.777.465,-,3.352.808.991.554,-,3545419777465.0,,3352808991554.0,
Dự án Khu công nghiệpTân Phú Trung (ii),Dự án Khu công nghiệpTân Phú Trung (ii),Dự án Khu công nghiệpTân Phú Trung (ii),2.560.161.200.730,-,2.559.881.884.282,-,2560161200730.0,,2559881884282.0,
Dự án Khu đồ thị PhúcNinh,Dự án Khu đồ thị PhúcNinh,Dự án Khu đồ thị PhúcNinh,824.899.200.580,-,791.241.769.241,-,824899200580.0,,791241769241.0,
Dự án Khu công nghiệpvà đồ thị Quang Châu,Dự án Khu công nghiệpvà đồ thị Quang Châu,Dự án Khu công nghiệpvà đồ thị Quang Châu,491.303.116.686,-,551.643.366.073,-,491303116686.0,,551643366073.0,
Dự án Khu công nghiệpQuế Võ mở rộng,Dự án Khu công nghiệpQuế Võ mở rộng,Dự án Khu công nghiệpQuế Võ mở rộng,288.590.532.478,-,337.106.227.149,-,288590532478.0,,337106227149.0,
Dự án Khu công nghiệpNam Sơn - Hạp Lĩnh,Dự án Khu công nghiệpNam Sơn - Hạp Lĩnh,Dự án Khu công nghiệpNam Sơn - Hạp Lĩnh,234.647.430.022,-,206.869.480.433,-,234647430022.0,,206869480433.0,
Dự án Khu công nghiệpTràng Duệ - giai đoạn 2,Dự án Khu công nghiệpTràng Duệ - giai đoạn 2,Dự án Khu công nghiệpTràng Duệ - giai đoạn 2,167.997.623.520,-,446.614.321.229,-,167997623520.0,,446614321229.0,
Dự án Khu công nghiệpTràng Duệ - giai đoạn 1(iii),Dự án Khu công nghiệpTràng Duệ - giai đoạn 1(iii),Dự án Khu công nghiệpTràng Duệ - giai đoạn 1(iii),66.896.049.066,-,16.498.178.861,-,66896049066.0,,16498178861.0,
Dự án Khu công nghiệpQuế Võ hiện hữu,Dự án Khu công nghiệpQuế Võ hiện hữu,Dự án Khu công nghiệpQuế Võ hiện hữu,50.222.049.281,-,64.211.681.110,-,50222049281.0,,64211681110.0,
Dự án Khu nhà ở thunhập thấp,Dự án Khu nhà ở thunhập thấp,Dự án Khu nhà ở thunhập thấp,-,-,23.897.163.067,-,,,23897163067.0,
Các dự án khác,Các dự án khác,Các dự án khác,13.559.498.882,-,13.675.314.872,-,13559498882.0,,13675314872.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,8.243.696.478.710,-,8.364.448.377.871,-,8243696478710.0,,8364448377871.0,
