row_label_raw,row_label_full,Bên liên quan > Phải thu khác về cho vay (Thuyết minh số 7),Nội dung nghiệp vụ > Phải thu khác về cho vay (Thuyết minh số 7),Đơn vị tính: VND > Năm nay > Phải thu khác về cho vay (Thuyết minh số 7),Đơn vị tính: VND > Năm trước > Phải thu khác về cho vay (Thuyết minh số 7),numeric__Nội dung nghiệp vụ > Phải thu khác về cho vay (Thuyết minh số 7),numeric__Đơn vị tính: VND > Năm nay > Phải thu khác về cho vay (Thuyết minh số 7),numeric__Đơn vị tính: VND > Năm trước > Phải thu khác về cho vay (Thuyết minh số 7)
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn - Chi nhánh Bắc Ninh,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn - Chi nhánh Bắc Ninh,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn - Chi nhánh Bắc Ninh,Cho vay ngắn hạn,13.945.208.333,8.700.000.000,,13945208333.0,8700000000.0
Công ty Cổ phần Đầu tư Sài Gòn - Huế,Công ty Cổ phần Đầu tư Sài Gòn - Huế,Công ty Cổ phần Đầu tư Sài Gòn - Huế,Cho vay ngắn hạn,200.000.000,400.000.000,,200000000.0,400000000.0
,,,,14.145.208.333,9.100.000.000,,14145208333.0,9100000000.0
Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),,,
Ông Đăng Thành Tâm,Phải thu ngắn hạn khác (Thuyết minh số 8) > Ông Đăng Thành Tâm,Ông Đăng Thành Tâm,Tạm ứng,29.471.250.456,6.175.359.000,,29471250456.0,6175359000.0
Bà Nguyễn Thị Thu Hương,Phải thu ngắn hạn khác (Thuyết minh số 8) > Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Tạm ứng,3.489.211.820,3.960.772.420,,3489211820.0,3960772420.0
Ông Phan Anh Dũng,Phải thu ngắn hạn khác (Thuyết minh số 8) > Ông Phan Anh Dũng,Ông Phan Anh Dũng,Tạm ứng,110.000.000,110.000.000,,110000000.0,110000000.0
Bà Nguyễn Chung Thủy,Phải thu ngắn hạn khác (Thuyết minh số 8) > Bà Nguyễn Chung Thủy,Bà Nguyễn Chung Thủy,Tạm ứng,206.586.000,183.356.000,,206586000.0,183356000.0
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn - Chi nhánh Bắc Ninh,Phải thu ngắn hạn khác (Thuyết minh số 8) > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn - Chi nhánh Bắc Ninh,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn - Chi nhánh Bắc Ninh,Đặt cọc,21.592.687.097,21.592.687.097,,21592687097.0,21592687097.0
,,,,54.869.735.373,32.022.174.517,,54869735373.0,32022174517.0
Phải trả người bán (Thuyết minh số 15),Phải trả người bán (Thuyết minh số 15),Phải trả người bán (Thuyết minh số 15),Phải trả người bán (Thuyết minh số 15),Phải trả người bán (Thuyết minh số 15),Phải trả người bán (Thuyết minh số 15),,,
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn - Chi nhánh Bắc Ninh,Phải trả người bán (Thuyết minh số 15) > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn - Chi nhánh Bắc Ninh,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn - Chi nhánh Bắc Ninh,Phải trả phí dịch vụ,109.340.000,90.860.000,,109340000.0,90860000.0
,,,,109.340.000,90.860.000,,109340000.0,90860000.0
Chi phí phải trả (Thuyết minh số 17),Chi phí phải trả (Thuyết minh số 17),Chi phí phải trả (Thuyết minh số 17),Chi phí phải trả (Thuyết minh số 17),Chi phí phải trả (Thuyết minh số 17),Chi phí phải trả (Thuyết minh số 17),,,
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn,Chi phí phải trả (Thuyết minh số 17) > Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn,Lãi vay phải trả,505.488.735,370.691.739,,505488735.0,370691739.0
,,,,505.488.735,370.691.739,,505488735.0,370691739.0
Vay ngắn hạn (Thuyết minh số 19),Vay ngắn hạn (Thuyết minh số 19),Vay ngắn hạn (Thuyết minh số 19),Vay ngắn hạn (Thuyết minh số 19),Vay ngắn hạn (Thuyết minh số 19),Vay ngắn hạn (Thuyết minh số 19),,,
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn (*),Vay ngắn hạn (Thuyết minh số 19) > Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn (*),Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn (*),Vay ngắn hạn,112.330.830.000,112.330.830.000,,112330830000.0,112330830000.0
Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng (**),Vay ngắn hạn (Thuyết minh số 19) > Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng (**),Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng (**),Vay ngắn hạn,1.500.000.000,1.500.000.000,,1500000000.0,1500000000.0
,,,,113.830.830.000,113.830.830.000,,113830830000.0,113830830000.0
Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),,,
Đăng Thành Tâm,Vay dài hạn (Thuyết minh số 19) > Đăng Thành Tâm,Đăng Thành Tâm,Vay dài hạn,-,3.849.163.882,,,3849163882.0
,,,,-,3.849.163.882,,,3849163882.0
