row_label_raw,row_label_full,col_0,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Đầu tư Sài Gòn - Huế,Công ty Cổ phần Đầu tư Phát triển Hạ tầng Khu Công nghệ Cao Sài Gòn,Công ty Cổ phần Scanviwood,Tổng cộng,numeric__Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,numeric__Công ty Cổ phần Đầu tư Sài Gòn - Huế,numeric__Công ty Cổ phần Đầu tư Phát triển Hạ tầng Khu Công nghệ Cao Sài Gòn,numeric__Công ty Cổ phần Scanviwood,numeric__Tổng cộng
Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,,,,,
Số đầu năm,Giá trị đầu tư: > Số đầu năm,Số đầu năm,423.492.661.074,210.627.000.000,82.330.830.000,7.204.600.000,723.655.091.074,423492661074.0,210627000000.0,82330830000.0,7204600000.0,723655091074.0
Số cuối năm,Giá trị đầu tư: > Số cuối năm,Số cuối năm,423.492.661.074,210.627.000.000,82.330.830.000,7.204.600.000,723.655.091.074,423492661074.0,210627000000.0,82330830000.0,7204600000.0,723655091074.0
Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,,,,,
Số đầu năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Số đầu năm,Số đầu năm,(100.000.531.715),(511.699.223),137.871.980,(264.669.848),(100.639.028.806),-100000531715.0,-511699223.0,137871980.0,-264669848.0,-100639028806.0
- Phần lợi nhuận/(lỗ) sau khi mua công ty liên kết,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > - Phần lợi nhuận/(lỗ) sau khi mua công ty liên kết,- Phần lợi nhuận/(lỗ) sau khi mua công ty liên kết,24.072.723.289,(2.234.157.255),(10.863.725),(264.669.850),21.563.032.459,24072723289.0,-2234157255.0,-10863725.0,-264669850.0,21563032459.0
Số cuối năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Số cuối năm,Số cuối năm,(75.927.808.426),(2.745.856.478),127.008.255,(529.339.698),(79.075.996.347),-75927808426.0,-2745856478.0,127008255.0,-529339698.0,-79075996347.0
Phân bổ lợi thể thương mại:,Phân bổ lợi thể thương mại:,Phân bổ lợi thể thương mại:,Phân bổ lợi thể thương mại:,Phân bổ lợi thể thương mại:,Phân bổ lợi thể thương mại:,Phân bổ lợi thể thương mại:,Phân bổ lợi thể thương mại:,,,,,
Số đầu năm,Phân bổ lợi thể thương mại: > Số đầu năm,Số đầu năm,160.227.726.386,-,-,-,160.227.726.386,160227726386.0,,,,160227726386.0
Số cuối năm,Phân bổ lợi thể thương mại: > Số cuối năm,Số cuối năm,160.227.726.386,-,-,-,160.227.726.386,160227726386.0,,,,160227726386.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,163.264.402.973,210.115.300.777,82.468.701.980,6.939.930.152,462.788.335.881,163264402973.0,210115300777.0,82468701980.0,6939930152.0,462788335881.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,187.337.126.262,207.881.143.522,82.457.838.255,6.675.260.302,484.351.368.341,187337126262.0,207881143522.0,82457838255.0,6675260302.0,484351368341.0
