row_label_raw,row_label_full,col_0,Trường hợp doanh thu được ghi nhận một lần tại thời điểm bán giao đất,Trường hợp doanh thu được phân bổ trong thời hạn thuê đất,numeric__Trường hợp doanh thu được ghi nhận một lần tại thời điểm bán giao đất,numeric__Trường hợp doanh thu được phân bổ trong thời hạn thuê đất
Doanh thu bán hàng và cung cấp dịch vụ Trong đó:,Doanh thu bán hàng và cung cấp dịch vụ Trong đó:,Doanh thu bán hàng và cung cấp dịch vụ Trong đó:,1.972.459.422.710,381.079.323.574,1972459422710.0,381079323574.0
Doanh thu cho thuê đất và cơ sở hạ tầng,Doanh thu cho thuê đất và cơ sở hạ tầng,Doanh thu cho thuê đất và cơ sở hạ tầng,1.632.119.603.325,40.739.504.189,1632119603325.0,40739504189.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,(865.066.256.558),(126.207.666.644),-865066256558.0,-126207666644.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,1.107.393.166.152,254.871.656.930,1107393166152.0,254871656930.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,921.361.545.830,69.497.660.609,921361545830.0,69497660609.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(104.958.126.654),(87.127.977.486),-104958126654.0,-87127977486.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,(105.118.422.552),(122.619.496.169),-105118422552.0,-122619496169.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,711.284.996.624,(140.249.813.046),711284996624.0,-140249813046.0
