row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngân hàng (*),Vay ngắn hạn > Vay ngân hàng (*),Vay ngân hàng (*),-,-,75.942.226.908,(25.145.000.000),50.797.226.908,50.797.226.908,,,75942226908.0,-25145000000.0,50797226908.0,50797226908.0
Vay các đối tượng khác (**),Vay ngắn hạn > Vay các đối tượng khác (**),Vay các đối tượng khác (**),32.868.697.019,32.868.697.019,-,(6.933.318.452),25.935.378.567,25.935.378.567,32868697019.0,32868697019.0,,-6933318452.0,25935378567.0,25935378567.0
Vay dài hạn đến hạn trả (Thuyết minh số 19.1 và Thuyết minh số 19.2),Vay ngắn hạn > Vay dài hạn đến hạn trả (Thuyết minh số 19.1 và Thuyết minh số 19.2),Vay dài hạn đến hạn trả (Thuyết minh số 19.1 và Thuyết minh số 19.2),1.058.502.212.972,1.058.502.212.972,-,(386.130.788.327),672.371.424.645,672.371.424.645,1058502212972.0,1058502212972.0,,-386130788327.0,672371424645.0,672371424645.0
Vay ngắn hạn các bên liên quan (Thuyết minh số 28),Vay ngắn hạn > Vay ngắn hạn các bên liên quan (Thuyết minh số 28),Vay ngắn hạn các bên liên quan (Thuyết minh số 28),113.830.830.000,113.830.830.000,-,-,113.830.830.000,113.830.830.000,113830830000.0,113830830000.0,,,113830830000.0,113830830000.0
,,,1.205.201.739.991,1.205.201.739.991,75.942.226.908,(418.209.106.779),862.934.860.120,862.934.860.120,1205201739991.0,1205201739991.0,75942226908.0,-418209106779.0,862934860120.0,862934860120.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay dài hạn ngân hàng (Thuyết minh số 19.1),Vay dài hạn > Vay dài hạn ngân hàng (Thuyết minh số 19.1),Vay dài hạn ngân hàng (Thuyết minh số 19.1),842.368.376.208,842.368.376.208,149.709.642.700,(266.984.740.494),725.093.278.414,725.093.278.414,842368376208.0,842368376208.0,149709642700.0,-266984740494.0,725093278414.0,725093278414.0
Vay dài hạn các bên liên quan (Thuyết minh số 28),Vay dài hạn > Vay dài hạn các bên liên quan (Thuyết minh số 28),Vay dài hạn các bên liên quan (Thuyết minh số 28),3.849.163.882,3.849.163.882,-,(3.849.163.882),-,-,3849163882.0,3849163882.0,,-3849163882.0,,
Trái phiếu (Thuyết minh số 19.2),Vay dài hạn > Trái phiếu (Thuyết minh số 19.2),Trái phiếu (Thuyết minh số 19.2),505.318.602.000,505.318.602.000,300.294.060.629,(426.106.491.256),379.506.171.373,379.506.171.373,505318602000.0,505318602000.0,300294060629.0,-426106491256.0,379506171373.0,379506171373.0
TỔNG CỔNG,Vay dài hạn > TỔNG CỔNG,TỔNG CỔNG,1.351.536.142.090,1.351.536.142.090,450.003.703.329,(696.940.395.632),1.104.599.449.787,1.104.599.449.787,1351536142090.0,1351536142090.0,450003703329.0,-696940395632.0,1104599449787.0,1104599449787.0
