row_label_raw,row_label_full,Các khoản chi phí bán hàng phát sinh trong năm,Năm nay > Các khoản chi phí bán hàng phát sinh trong năm,Đơn vị tính: VND > Năm trước > Các khoản chi phí bán hàng phát sinh trong năm,numeric__Năm nay > Các khoản chi phí bán hàng phát sinh trong năm,numeric__Đơn vị tính: VND > Năm trước > Các khoản chi phí bán hàng phát sinh trong năm
Mua logo công ty,Mua logo công ty,Mua logo công ty,10.933.000.000,14.901.600.000,10933000000.0,14901600000.0
"Phí tư vấn pháp lý, môi giới bán hàng","Phí tư vấn pháp lý, môi giới bán hàng","Phí tư vấn pháp lý, môi giới bán hàng",19.290.796.455,14.583.723.422,19290796455.0,14583723422.0
Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,1.751.375.444,2.094.587.118,1751375444.0,2094587118.0
Khác,Khác,Khác,1.238.248.848,3.307.894.383,1238248848.0,3307894383.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,33.213.420.747,34.887.804.923,33213420747.0,34887804923.0
Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,,
Chi phí khấu hao TSCĐ,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,8.902.943.777,9.616.128.501,8902943777.0,9616128501.0
Lương thường nhân viên,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Lương thường nhân viên,Lương thường nhân viên,60.407.385.371,51.803.476.748,60407385371.0,51803476748.0
Chi phí dịch vụ mua ngoài,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,19.640.075.271,15.749.086.481,19640075271.0,15749086481.0
Khác,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Khác,Khác,31.994.093.264,15.830.310.447,31994093264.0,15830310447.0
TỔNG CỘNG,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > TỔNG CỘNG,TỔNG CỘNG,120.944.497.683,92.999.002.177,120944497683.0,92999002177.0
