row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Đơn vị tính: VND > Số đầu năm > Giá trị,Đơn vị tính: VND > Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị,numeric__Đơn vị tính: VND > Số đầu năm > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Công ty Cổ phần Đầu tư Sài Gòn (i),Ngắn hạn > Công ty Cổ phần Đầu tư Sài Gòn (i),Công ty Cổ phần Đầu tư Sài Gòn (i),583.000.000.000,-,583.000.000.000,-,583000000000.0,,583000000000.0,
Phải thu từ chuyển nhượng cổ phần (ii),Ngắn hạn > Phải thu từ chuyển nhượng cổ phần (ii),Phải thu từ chuyển nhượng cổ phần (ii),549.714.632.444,-,672.730.000.000,-,549714632444.0,,672730000000.0,
Ứng trước cho PVCombank liền quan đến mua khoản đầu tư,Ngắn hạn > Ứng trước cho PVCombank liền quan đến mua khoản đầu tư,Ứng trước cho PVCombank liền quan đến mua khoản đầu tư,191.690.284.000,-,-,-,191690284000.0,,,
Bà Quách Thị Nga (iii),Ngắn hạn > Bà Quách Thị Nga (iii),Bà Quách Thị Nga (iii),113.800.000.000,-,-,-,113800000000.0,,,
Phải thu khác các bên liên quan (Thuyết minh số 28),Ngắn hạn > Phải thu khác các bên liên quan (Thuyết minh số 28),Phải thu khác các bên liên quan (Thuyết minh số 28),54.869.735.373,-,32.022.174.517,-,54869735373.0,,32022174517.0,
Phải thu Công ty Cổ phần Kum-Ba (iv),Ngắn hạn > Phải thu Công ty Cổ phần Kum-Ba (iv),Phải thu Công ty Cổ phần Kum-Ba (iv),43.875.296.000,-,43.875.296.000,-,43875296000.0,,43875296000.0,
Tạm ứng cho nhân viên,Ngắn hạn > Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,27.483.646.530,-,17.918.475.834,-,27483646530.0,,17918475834.0,
Phải thu Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc (v),Ngắn hạn > Phải thu Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc (v),Phải thu Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc (v),21.766.558.152,-,151.146.558.152,-,21766558152.0,,151146558152.0,
Phải thu Ủy ban Nhân dân tỉnh Bắc Ninh (vi),Ngắn hạn > Phải thu Ủy ban Nhân dân tỉnh Bắc Ninh (vi),Phải thu Ủy ban Nhân dân tỉnh Bắc Ninh (vi),19.440.000.000,-,19.440.000.000,-,19440000000.0,,19440000000.0,
Phải thu tiền đặt cọc (vii),Ngắn hạn > Phải thu tiền đặt cọc (vii),Phải thu tiền đặt cọc (vii),12.851.128.404,-,12.851.128.404,-,12851128404.0,,12851128404.0,
Phải thu Ủy ban Nhân dân Xã Vân Dương,Ngắn hạn > Phải thu Ủy ban Nhân dân Xã Vân Dương,Phải thu Ủy ban Nhân dân Xã Vân Dương,3.327.780.000,-,2.228.672.000,-,3327780000.0,,2228672000.0,
Phải thu khác,Ngắn hạn > Phải thu khác,Phải thu khác,6.512.554.417,-,4.735.153.600,-,6512554417.0,,4735153600.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.628.331.615.320,-,1.539.947.458.507,-,1628331615320.0,,1539947458507.0,
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Công ty Cổ phần Dịch vụKinh Bắc (viii),Dài hạn > Công ty Cổ phần Dịch vụKinh Bắc (viii),Công ty Cổ phần Dịch vụKinh Bắc (viii),40.925.135.594,-,15.418.350.117,-,40925135594.0,,15418350117.0,
Phải thu dài hạn khác,Dài hạn > Phải thu dài hạn khác,Phải thu dài hạn khác,268.934.250,-,209.000.000,-,268934250.0,,209000000.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,41.194.069.844,-,15.627.350.117,-,41194069844.0,,15627350117.0,
