row_label_raw,row_label_full,col_0,Thuyết minh,Tỷ lệ vốn góp,Số cuối năm > Số cổ phiếu,Số cuối năm > Giá trị ghi số,Số đầu năm > Số cổ phiếu,Số đầu năm > Giá trị ghi số,numeric__Thuyết minh,numeric__Tỷ lệ vốn góp,numeric__Số cuối năm > Số cổ phiếu,numeric__Số cuối năm > Giá trị ghi số,numeric__Số đầu năm > Số cổ phiếu,numeric__Số đầu năm > Giá trị ghi số
Công ty Cổ phần Đầu tư Sài Gòn - Huế,Công ty Cổ phần Đầu tư Sài Gòn - Huế,Công ty Cổ phần Đầu tư Sài Gòn - Huế,(i),"28,14%",9.849.000,207.881.143.522,9.849.000,210.115.300.777,,0.2814,9849000.0,207881143522.0,9849000.0,210115300777.0
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,(ii),"21,48%",15.896.923,187.337.126.262,15.896.923,163.264.402.974,,0.2148,15896923.0,187337126262.0,15896923.0,163264402974.0
Công ty Cổ phần Đầu tư Phát triển Khu Công nghệ Cao Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Khu Công nghệ Cao Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Khu Công nghệ Cao Sài Gòn,(iii),"27,44%",8.233.083,82.457.838.255,8.233.083,82.468.701.980,,0.27440000000000003,8233083.0,82457838255.0,8233083.0,82468701980.0
Công ty Cổ phần Scanviwood,Công ty Cổ phần Scanviwood,Công ty Cổ phần Scanviwood,(iv),34%,1.077.528,6.675.260.302,1.077.528,6.939.930.150,,0.34,1077528.0,6675260302.0,1077528.0,6939930150.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,,484.351.368.341,,462.788.335.881,,,,484351368341.0,,462788335881.0
