row_label_raw,row_label_full,Ông Lê Viết Hải,Chủ tịch,col_2,numeric__Chủ tịch,numeric__col_2
Ông Phan Ngọc Thạnh,Ông Phan Ngọc Thạnh,Ông Phan Ngọc Thạnh,Thành viên,,,
Ông Lê Quốc Duy,Ông Lê Quốc Duy,Ông Lê Quốc Duy,Thành viên,,,
Ông Park Seok Bae,Ông Park Seok Bae,Ông Park Seok Bae,Thành viên,,,
Ông Lê Viết Hiếu,Ông Lê Viết Hiếu,Ông Lê Viết Hiếu,Thành viên,,,
Ông Nguyễn Tường Bảo,Ông Nguyễn Tường Bảo,Ông Nguyễn Tường Bảo,Thành viên độc lập,Bổ nhiệm ngày 21 tháng 6 năm 2021,,
Ông Nguyễn Công Phú,Ông Nguyễn Công Phú,Ông Nguyễn Công Phú,Thành viên độc lập,Bổ nhiệm ngày 21 tháng 6 năm 2021,,
Ông Dương Văn Hùng,Ông Dương Văn Hùng,Ông Dương Văn Hùng,Thành viên độc lập,Bổ nhiệm ngày 21 tháng 6 năm 2021,,
Ông Phương Công Thắng,Ông Phương Công Thắng,Ông Phương Công Thắng,Thành viên độc lập,Hết nhiệm kỳ ngày 21 tháng 6 năm 2021,,
Ông Đặng Doãn Kiên,Ông Đặng Doãn Kiên,Ông Đặng Doãn Kiên,Thành viên độc lập,Hết nhiệm kỳ ngày 21 tháng 6 năm 2021,,
Ông Đặng Hồng Anh,Ông Đặng Hồng Anh,Ông Đặng Hồng Anh,Thành viên độc lập,Miễn nhiệm theo đơn từ nhiệm ngày 21 tháng 6 năm 2021,,
