row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,94.546.700.895,1.930.725.280.507,73.709.264.507,21.478.663.748,2.120.459.909.657,94546700895.0,1930725280507.0,73709264507.0,21478663748.0,2120459909657.0
Mua mới,Nguyên giá > Mua mới,Mua mới,-,56.895.495.596,774.303.636,701.299.647,58.371.098.879,,56895495596.0,774303636.0,701299647.0,58371098879.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,1.322.776.877,-,-,-,1.322.776.877,1322776877.0,,,,1322776877.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(181.925.000),181.925.000,-,-,,-181925000.0,181925000.0,,
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(129.801.061.197),(1.261.925.000),(547.180.000),(131.610.166.197),,-129801061197.0,-1261925000.0,-547180000.0,-131610166197.0
Khác,Nguyên giá > Khác,Khác,-,(1.057.645.490),-,-,(1.057.645.490),,-1057645490.0,,,-1057645490.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,95.869.477.772,1.856.580.144.416,73.403.568.143,21.632.783.395,2.047.485.973.726,95869477772.0,1856580144416.0,73403568143.0,21632783395.0,2047485973726.0
Trong đó:Đã khấu hao hết,Nguyên giá > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,1.286.723.617,168.624.869.410,9.351.419.320,7.819.590.562,187.082.602.909,1286723617.0,168624869410.0,9351419320.0,7819590562.0,187082602909.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,(31.606.358.195),(938.310.546.510),(32.471.090.689),(16.213.547.431),(1.018.601.542.825),-31606358195.0,-938310546510.0,-32471090689.0,-16213547431.0,-1018601542825.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(7.535.502.348),(199.977.592.317),(10.835.365.657),(2.378.607.526),(220.727.067.848),-7535502348.0,-199977592317.0,-10835365657.0,-2378607526.0,-220727067848.0
Phân loại lại,Giá trị khấu hao lũy kế > Phân loại lại,Phân loại lại,(608.271.654),(691.218.776),(25.321.032),(57.626.090),-,-608271654.0,-691218776.0,-25321032.0,-57626090.0,
Thanh lý,Giá trị khấu hao lũy kế > Thanh lý,Thanh lý,-,95.120.417.810,668.090.737,290.446.005,96.078.954.552,,95120417810.0,668090737.0,290446005.0,96078954552.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,(39.750.132.197),(1.042.476.502.241),(42.663.686.641),(18.359.335.042),(1.143.249.656.121),-39750132197.0,-1042476502241.0,-42663686641.0,-18359335042.0,-1143249656121.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,62.940.342.700,992.414.733.997,41.238.173.818,5.265.116.317,1.101.858.366.832,62940342700.0,992414733997.0,41238173818.0,5265116317.0,1101858366832.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,56.119.345.575,814.103.642.175,30.739.881.502,3.273.448.353,904.236.317.605,56119345575.0,814103642175.0,30739881502.0,3273448353.0,904236317605.0
Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 23.1 và 23.3),Giá trị còn lại > Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 23.1 và 23.3),Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 23.1 và 23.3),315.575.400,646.722.402.210,30.068.948.168,-,677.106.925.778,315575400.0,646722402210.0,30068948168.0,,677106925778.0
