row_label_raw,row_label_full,Tập đoàn sử dụng các khoản vay này nhằm đáp ứng nhu cầu vốn lưu động. Chi tiết như sau:,Tập đoàn sử dụng các khoản vay này nhằm đáp ứng nhu cầu vốn lưu động. Chi tiết như sau:_1,Tập đoàn sử dụng các khoản vay này nhằm đáp ứng nhu cầu vốn lưu động. Chi tiết như sau:_2,Tập đoàn sử dụng các khoản vay này nhằm đáp ứng nhu cầu vốn lưu động. Chi tiết như sau:_3,Tập đoàn sử dụng các khoản vay này nhằm đáp ứng nhu cầu vốn lưu động. Chi tiết như sau:_4,numeric__Tập đoàn sử dụng các khoản vay này nhằm đáp ứng nhu cầu vốn lưu động. Chi tiết như sau:_1,numeric__Tập đoàn sử dụng các khoản vay này nhằm đáp ứng nhu cầu vốn lưu động. Chi tiết như sau:_2,numeric__Tập đoàn sử dụng các khoản vay này nhằm đáp ứng nhu cầu vốn lưu động. Chi tiết như sau:_3,numeric__Tập đoàn sử dụng các khoản vay này nhằm đáp ứng nhu cầu vốn lưu động. Chi tiết như sau:_4
Ngân hàng,Ngân hàng,Ngân hàng,Số cuối năm(VND),Ngày đáo hạn,Lãi suất,"Tài sản đảm bảo(Thuyết minh số 7.1, 8, 13 và 14)",,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hồ Chí Minh,Ngân hàng > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hồ Chí Minh,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hồ Chí Minh,1.998.551.213.020,Từ ngày 12 tháng 4 năm 2022 đến ngày 30 tháng 9 năm 2022,Lãi suất áp dụng theo từng lần giải ngân,"Quyền sử dụng đất; nhà cửa, vật kiến trúc",1998551213020.0,,,
Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 1,Ngân hàng > Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 1,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 1,1.099.218.638.956,Từ ngày 14 tháng 2 năm 2022 đến ngày 30 tháng 6 năm 2022,Lãi suất áp dụng theo từng lần giải ngân,Phải thu ngắn hạn của khách hàng,1099218638956.0,,,
Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Hồ Chí Minh,Ngân hàng > Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Hồ Chí Minh,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Hồ Chí Minh,287.004.066.507,Từ ngày 25 tháng 4 năm 2022 đến ngày 30 tháng 6 năm 2022,Lãi suất áp dụng theo từng lần giải ngân,Phải thu ngắn hạn của khách hàng,287004066507.0,,,
Ngân hàng TMCP Hàng Hải - Chi nhánh Hồ Chí Minh,Ngân hàng > Ngân hàng TMCP Hàng Hải - Chi nhánh Hồ Chí Minh,Ngân hàng TMCP Hàng Hải - Chi nhánh Hồ Chí Minh,274.372.998.540,Từ ngày 28 tháng 2 năm 2022 đến ngày 1 tháng 4 năm 2022,Lãi suất áp dụng theo từng lần giải ngân,Phải thu ngắn hạn của khách hàng,274372998540.0,,,
Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,Ngân hàng > Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,208.560.147.330,Từ ngày 15 tháng 7 năm 2022 đến ngày 16 tháng 9 năm 2022,Lãi suất áp dụng theo từng lần giải ngân,Phải thu ngắn hạn của khách hàng,208560147330.0,,,
Ngân Hàng TMCP An Bình,Ngân hàng > Ngân Hàng TMCP An Bình,Ngân Hàng TMCP An Bình,165.690.944.249,Từ ngày 6 tháng 1 năm 2022 đến ngày 24 tháng 6 năm 2022,Lãi suất áp dụng theo từng lần giải ngân,Phải thu ngắn hạn của khách hàng,165690944249.0,,,
Ngân hàng TMCP Đông Nam Á - Chi nhánh Sài Gòn,Ngân hàng > Ngân hàng TMCP Đông Nam Á - Chi nhánh Sài Gòn,Ngân hàng TMCP Đông Nam Á - Chi nhánh Sài Gòn,146.146.082.951,Từ ngày 29 tháng 7 năm 2022 đến ngày 12 tháng 8 năm 2022,Lãi suất áp dụng theo từng lần giải ngân,Phải thu ngắn hạn của khách hàng,146146082951.0,,,
Ngân hàng TMCP Quân đội - Chi nhánh Hồ Chí Minh,Ngân hàng > Ngân hàng TMCP Quân đội - Chi nhánh Hồ Chí Minh,Ngân hàng TMCP Quân đội - Chi nhánh Hồ Chí Minh,109.968.438.743,Từ ngày 5 tháng 2 năm 2022 đến ngày 29 tháng 4 năm 2022,Lãi suất áp dụng theo từng lần giải ngân,Phải thu ngắn hạn của khách hàng,109968438743.0,,,
Ngân hàng TNHH HSBC (Việt Nam) - Chi nhánh Hồ Chí Minh,Ngân hàng > Ngân hàng TNHH HSBC (Việt Nam) - Chi nhánh Hồ Chí Minh,Ngân hàng TNHH HSBC (Việt Nam) - Chi nhánh Hồ Chí Minh,91.195.507.535,Từ ngày 17 tháng 1 năm 2022 đến ngày 14 tháng 3 năm 2022,Lãi suất áp dụng theo từng lần giải ngân,Phải thu ngắn hạn của khách hàng,91195507535.0,,,
