row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP > Ngoại thương Việt Nam -Chi nhánh Hồ Chí Minh > Ngân hàng TMCP Phát triển,Số cuối năm(VND) > 4.740.587.354 > 4.649.278.340,Ngày đáo hạn > Từ ngày 21 tháng 1 năm 2022 đến ngày 22 tháng 6 năm 2022 > Từ ngày 31 tháng 1 năm 2022 đến ngày 30 tháng 6 năm 2022,"Lãi suất > 6,5%/năm > 11,0%/năm","Tài sản đảm bảo(Thuyết minh số 7.1, 8,10, 11, 12, 13 và 15) > Thừa đất số 3994diện tích 9.774 m2 > Lô 8, Khu B2-2,dự án bắt động sảnbến du thuyền Đà Nẵng",numeric__Số cuối năm(VND) > 4.740.587.354 > 4.649.278.340,numeric__Ngày đáo hạn > Từ ngày 21 tháng 1 năm 2022 đến ngày 22 tháng 6 năm 2022 > Từ ngày 31 tháng 1 năm 2022 đến ngày 30 tháng 6 năm 2022,"numeric__Lãi suất > 6,5%/năm > 11,0%/năm","numeric__Tài sản đảm bảo(Thuyết minh số 7.1, 8,10, 11, 12, 13 và 15) > Thừa đất số 3994diện tích 9.774 m2 > Lô 8, Khu B2-2,dự án bắt động sảnbến du thuyền Đà Nẵng"
Thành phố Hồ Chí Minh,Thành phố Hồ Chí Minh,Thành phố Hồ Chí Minh,,,,,,,,
Ngân hàng TMCP,Thành phố Hồ Chí Minh > Ngân hàng TMCP,Ngân hàng TMCP,933.161.780,Từ ngày 11 tháng 1 năm 2022 đến ngày 11 tháng 10 năm 2022,"8,0%/năm",Quyền sử dụng đất vànhà xưởng,933161780.0,,,
Phương Đông - Chi nhánhHồ Chí Minh,Phương Đông - Chi nhánhHồ Chí Minh,Phương Đông - Chi nhánhHồ Chí Minh,,,,,,,,
TỔNG CỘNG,Phương Đông - Chi nhánhHồ Chí Minh > TỔNG CỘNG,TỔNG CỘNG,4.601.688.516.377,,,,4601688516377.0,,,
23.2 Vay ngắn hạn từ bên khác,23.2 Vay ngắn hạn từ bên khác,23.2 Vay ngắn hạn từ bên khác,23.2 Vay ngắn hạn từ bên khác,23.2 Vay ngắn hạn từ bên khác,23.2 Vay ngắn hạn từ bên khác,23.2 Vay ngắn hạn từ bên khác,,,,
Tập đoàn sử dụng các khoản vay này nhằm đáp ứng nhu cầu vốn lưu động. Chỉ tiết như sau:,Tập đoàn sử dụng các khoản vay này nhằm đáp ứng nhu cầu vốn lưu động. Chỉ tiết như sau:,Tập đoàn sử dụng các khoản vay này nhằm đáp ứng nhu cầu vốn lưu động. Chỉ tiết như sau:,Tập đoàn sử dụng các khoản vay này nhằm đáp ứng nhu cầu vốn lưu động. Chỉ tiết như sau:,Tập đoàn sử dụng các khoản vay này nhằm đáp ứng nhu cầu vốn lưu động. Chỉ tiết như sau:,Tập đoàn sử dụng các khoản vay này nhằm đáp ứng nhu cầu vốn lưu động. Chỉ tiết như sau:,Tập đoàn sử dụng các khoản vay này nhằm đáp ứng nhu cầu vốn lưu động. Chỉ tiết như sau:,,,,
Bên cho vay,Bên cho vay,Bên cho vay,Số cuối năm(VND),Ngày đáo hạn,Lãi suất(%/năm),Tài sản đảm bảo,,,,
Cá nhân,Bên cho vay > Cá nhân,Cá nhân,3.223.822.481,Ngày 23 tháng 6 năm 2022,"Từ 0%/năm đến 6,5%/năm",Tín chấp,3223822481.0,,,
