row_label_raw,row_label_full,Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Công tyliên kết,Chi phíthầu phụ,7.812.916.245,col_4,numeric__Công tyliên kết,numeric__Chi phíthầu phụ,numeric__7.812.916.245,numeric__col_4
Công ty Cổ phầnTrang trí Nội thấtOnwa Tech,Công ty Cổ phầnTrang trí Nội thấtOnwa Tech,Công ty Cổ phầnTrang trí Nội thấtOnwa Tech,Công tyliên kết,Chi phíthầu phụ,1.464.392.959,2.150.867.138,,,1464392959.0,2150867138.0
Công ty Cổ phần Cơ khívà Nhôm kính Anh Việt,Công ty Cổ phần Cơ khívà Nhôm kính Anh Việt,Công ty Cổ phần Cơ khívà Nhôm kính Anh Việt,Công tyliên kết,Chi phíthầu phụ,-,1.841.381.366,,,,1841381366.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,9.277.309.204,1.841.381.366,,,9277309204.0,1841381366.0
