row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích của cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,2.308.753.980.000,346.669.112.981,58.026.514,96.713.652.124,835.654.248.516,371.914.703.224,3.959.763.723.359,2308753980000.0,346669112981.0,58026514.0,96713652124.0,835654248516.0,371914703224.0,3959763723359.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,86.319.060.446,(2.647.432.523),83.671.627.923,,,,,86319060446.0,-2647432523.0,83671627923.0
Cổ tức đã công bố,Năm trước > Cổ tức đã công bố,Cổ tức đã công bố,-,-,-,-,(69.262.619.400),(242.026.456),(69.504.645.856),,,,,-69262619400.0,-242026456.0,-69504645856.0
Trích lập các quỹ,Năm trước > Trích lập các quỹ,Trích lập các quỹ,-,-,-,93.990.176,(93.990.176),-,-,,,,93990176.0,-93990176.0,,
"Trích lập quỹ khen thưởng, phúc lợi","Năm trước > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,(7.838.810.369),-,(7.838.810.369),,,,,-7838810369.0,,-7838810369.0
Thay đổi tỷ lệ sở hữu trong năm,Năm trước > Thay đổi tỷ lệ sở hữu trong năm,Thay đổi tỷ lệ sở hữu trong năm,-,-,-,-,1.580.840.988,180.353.432.047,181.934.273.035,,,,,1580840988.0,180353432047.0,181934273035.0
Khác,Năm trước > Khác,Khác,-,-,(1.581.415),-,-,-,(1.581.415),,,-1581415.0,,,,-1581415.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,2.308.753.980.000,346.669.112.981,56.445.099,96.807.642.300,846.358.730.005,549.378.676.292,4.148.024.586.677,2308753980000.0,346669112981.0,56445099.0,96807642300.0,846358730005.0,549378676292.0,4148024586677.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,2.308.753.980.000,346.669.112.981,56.445.099,96.807.642.300,846.358.730.005,549.378.676.292,4.148.024.586.677,2308753980000.0,346669112981.0,56445099.0,96807642300.0,846358730005.0,549378676292.0,4148024586677.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,102.964.490.780,(5.994.538.234),96.969.952.547,,,,,102964490780.0,-5994538234.0,96969952547.0
Cổ tức đã công bố (*),Năm nay > Cổ tức đã công bố (*),Cổ tức đã công bố (*),115.403.860.000,-,-,-,(115.403.860.000),(199.886.346),(199.886.346),115403860000.0,,,,-115403860000.0,-199886346.0,-199886346.0
Trích lập các quỹ,Năm nay > Trích lập các quỹ,Trích lập các quỹ,-,-,-,24.837.138,(24.837.138),-,-,,,,24837138.0,-24837138.0,,
"Trích lập quỹ khen thưởng, phúc lợi","Năm nay > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,(10.094.716.766),-,(10.094.716.766),,,,,-10094716766.0,,-10094716766.0
Chi thưởng Ban Điều hành và Cán bộ trọng yếu,Năm nay > Chi thưởng Ban Điều hành và Cán bộ trọng yếu,Chi thưởng Ban Điều hành và Cán bộ trọng yếu,-,-,-,-,(3.927.373.359),-,(3.927.373.359),,,,,-3927373359.0,,-3927373359.0
Thay đổi tỷ lệ sở hữu trong năm,Năm nay > Thay đổi tỷ lệ sở hữu trong năm,Thay đổi tỷ lệ sở hữu trong năm,-,-,-,-,(26.864.565.685),(147.380.228.582),(174.244.794.267),,,,,-26864565685.0,-147380228582.0,-174244794267.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,2.424.157.840.000,346.669.112.981,56.445.099,96.832.479.438,793.007.867.838,395.804.023.129,4.056.527.768.485,2424157840000.0,346669112981.0,56445099.0,96832479438.0,793007867838.0,395804023129.0,4056527768485.0
