row_label_raw,row_label_full,Tổ chức thu xếp phát hành > Công ty Chứng khoán ACB,Trái chủ > Ngân hàng Thương mại Cổ phầnHàng hải Việt Nam – Chi nhánhThành phố Hồ Chí Minh,Số cuối nămVND > 300.000.000.000,Kỳ hạn trả gốc > Ngày 30 tháng 12năm 2026,Mục đích vay > Bổ sung vốnlưu động,"Tài sản đảm bảo(Thuyết minh số 7.1và 8) > Phải thu ngắn hạn củakhách hàng, cổ phiếu của Công ty",numeric__Trái chủ > Ngân hàng Thương mại Cổ phầnHàng hải Việt Nam – Chi nhánhThành phố Hồ Chí Minh,numeric__Số cuối nămVND > 300.000.000.000,numeric__Kỳ hạn trả gốc > Ngày 30 tháng 12năm 2026,numeric__Mục đích vay > Bổ sung vốnlưu động,"numeric__Tài sản đảm bảo(Thuyết minh số 7.1và 8) > Phải thu ngắn hạn củakhách hàng, cổ phiếu của Công ty"
Chỉ phí phát hành trái phiếu,Chỉ phí phát hành trái phiếu,Chỉ phí phát hành trái phiếu,,(10.000.000.000),,,,,-10000000000.0,,,
,,,,290.000.000.000,,,,,290000000000.0,,,
Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,,290.000.000.000,,,,,290000000000.0,,,
Lãi suất trái phiếu,Lãi suất trái phiếu,Lãi suất trái phiếu,Lãi suất trái phiếu,Lãi suất trái phiếu,Lãi suất trái phiếu,Lãi suất trái phiếu,Lãi suất trái phiếu,,,,,
"Các khoản trái phiếu chịu lãi suất 9,6% trong năm đầu tiên và áp dụng cho các kỳ tính lãi tiếp theo lãi suất tiền gửi tiết kiệm cá nhân bằng VND kỳ hạn 12 tháng của Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam cộng (+) với biên độ 4,5% một năm.","Các khoản trái phiếu chịu lãi suất 9,6% trong năm đầu tiên và áp dụng cho các kỳ tính lãi tiếp theo lãi suất tiền gửi tiết kiệm cá nhân bằng VND kỳ hạn 12 tháng của Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam cộng (+) với biên độ 4,5% một năm.","Các khoản trái phiếu chịu lãi suất 9,6% trong năm đầu tiên và áp dụng cho các kỳ tính lãi tiếp theo lãi suất tiền gửi tiết kiệm cá nhân bằng VND kỳ hạn 12 tháng của Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam cộng (+) với biên độ 4,5% một năm.","Các khoản trái phiếu chịu lãi suất 9,6% trong năm đầu tiên và áp dụng cho các kỳ tính lãi tiếp theo lãi suất tiền gửi tiết kiệm cá nhân bằng VND kỳ hạn 12 tháng của Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam cộng (+) với biên độ 4,5% một năm.","Các khoản trái phiếu chịu lãi suất 9,6% trong năm đầu tiên và áp dụng cho các kỳ tính lãi tiếp theo lãi suất tiền gửi tiết kiệm cá nhân bằng VND kỳ hạn 12 tháng của Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam cộng (+) với biên độ 4,5% một năm.","Các khoản trái phiếu chịu lãi suất 9,6% trong năm đầu tiên và áp dụng cho các kỳ tính lãi tiếp theo lãi suất tiền gửi tiết kiệm cá nhân bằng VND kỳ hạn 12 tháng của Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam cộng (+) với biên độ 4,5% một năm.","Các khoản trái phiếu chịu lãi suất 9,6% trong năm đầu tiên và áp dụng cho các kỳ tính lãi tiếp theo lãi suất tiền gửi tiết kiệm cá nhân bằng VND kỳ hạn 12 tháng của Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam cộng (+) với biên độ 4,5% một năm.","Các khoản trái phiếu chịu lãi suất 9,6% trong năm đầu tiên và áp dụng cho các kỳ tính lãi tiếp theo lãi suất tiền gửi tiết kiệm cá nhân bằng VND kỳ hạn 12 tháng của Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam cộng (+) với biên độ 4,5% một năm.",,,,,
24. DỰ PHÒNG PHẢI TRẢ DÀI HẠN,24. DỰ PHÒNG PHẢI TRẢ DÀI HẠN,24. DỰ PHÒNG PHẢI TRẢ DÀI HẠN,24. DỰ PHÒNG PHẢI TRẢ DÀI HẠN,24. DỰ PHÒNG PHẢI TRẢ DÀI HẠN,24. DỰ PHÒNG PHẢI TRẢ DÀI HẠN,24. DỰ PHÒNG PHẢI TRẢ DÀI HẠN,24. DỰ PHÒNG PHẢI TRẢ DÀI HẠN,,,,,
,,,,,,Số cuối năm,VND,,,,,
,,,,,,Số cuối năm,Số đầu năm,,,,,
Dự phòng chi phí bảo hành công trình xây dựng,24. DỰ PHÒNG PHẢI TRẢ DÀI HẠN > Dự phòng chi phí bảo hành công trình xây dựng,Dự phòng chi phí bảo hành công trình xây dựng,Dự phòng chi phí bảo hành công trình xây dựng,Dự phòng chi phí bảo hành công trình xây dựng,Dự phòng chi phí bảo hành công trình xây dựng,198.656.496.627,204.077.877.777,,,,198656496627.0,204077877777.0
Dự phòng trợ cấp thời việc,24. DỰ PHÒNG PHẢI TRẢ DÀI HẠN > Dự phòng trợ cấp thời việc,Dự phòng trợ cấp thời việc,Dự phòng trợ cấp thời việc,Dự phòng trợ cấp thời việc,Dự phòng trợ cấp thời việc,24.115.766.792,25.196.116.792,,,,24115766792.0,25196116792.0
TỔNG CỘNG,24. DỰ PHÒNG PHẢI TRẢ DÀI HẠN > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,222.772.263.419,229.273.994.569,,,,222772263419.0,229273994569.0
