row_label_raw,row_label_full,col_0,Xây dựng,Kinh doanhbắt động sản,Hàng hóa khác,Điều chỉnh và loại trừ,VNDTổng cộng,numeric__Xây dựng,numeric__Kinh doanhbắt động sản,numeric__Hàng hóa khác,numeric__Điều chỉnh và loại trừ,numeric__VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,
Doanh thu từ bên thứ ba,Doanh thu thuần > Doanh thu từ bên thứ ba,Doanh thu từ bên thứ ba,10.825.307.989.230,93.858.335.323,305.486.377.989,-,11.224.652.702.542,10825307989230.0,93858335323.0,305486377989.0,,11224652702542.0
Doanh thu giữa các bộ phận,Doanh thu thuần > Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,135.841.509.441,-,997.725.511.016,(1.133.567.020.458),-,135841509441.0,,997725511016.0,-1133567020458.0,
Tổng cộng,Doanh thu thuần > Tổng cộng,Tổng cộng,10.961.149.498.671,93.858.335.323,1.303.211.889.005,(1.133.567.020.458),11.224.652.702.542,10961149498671.0,93858335323.0,1303211889005.0,-1133567020458.0,11224652702542.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,
Kết quả của bộ phận,Kết quả hoạt động kinh doanh > Kết quả của bộ phận,Kết quả của bộ phận,662.953.034.991,49.365.810.195,23.900.394.243,-,736.219.239.429,662953034991.0,49365810195.0,23900394243.0,,736219239429.0
Chi phí không phân bổ,Kết quả hoạt động kinh doanh > Chi phí không phân bổ,Chi phí không phân bổ,-,-,-,-,(402.858.467.879),,,,,-402858467879.0
Lợi nhuận trước thuế. thu nhập,Lợi nhuận trước thuế. thu nhập,Lợi nhuận trước thuế. thu nhập,Lợi nhuận trước thuế. thu nhập,Lợi nhuận trước thuế. thu nhập,Lợi nhuận trước thuế. thu nhập,Lợi nhuận trước thuế. thu nhập,Lợi nhuận trước thuế. thu nhập,,,,,
tài chính và chi phí tài chính,Lợi nhuận trước thuế. thu nhập > tài chính và chi phí tài chính,tài chính và chi phí tài chính,,,,,333.360.771.550,,,,,333360771550.0
Thu nhập tài chính,Lợi nhuận trước thuế. thu nhập > Thu nhập tài chính,Thu nhập tài chính,,,,,112.633.866.367,,,,,112633866367.0
Chi phí tài chính,Lợi nhuận trước thuế. thu nhập > Chi phí tài chính,Chi phí tài chính,,,,,(320.134.804.678),,,,,-320134804678.0
Lỗ từ công ty liên kết,Lợi nhuận trước thuế. thu nhập > Lỗ từ công ty liên kết,Lỗ từ công ty liên kết,,,,,(11.497.602.605),,,,,-11497602605.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế. thu nhập > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,114.362.230.634,,,,,114362230634.0
Chi phí thuế TNDN hiện hành,Lợi nhuận trước thuế. thu nhập > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,,(20.555.469.601),,,,,-20555469601.0
Thu nhập thuế TNDN hoãn lại,Lợi nhuận trước thuế. thu nhập > Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,,,,,(10.135.133.110),,,,,-10135133110.0
Lợi nhuận sau thuế trong năm,Lợi nhuận trước thuế. thu nhập > Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,,,,,83.671.627.923,,,,,83671627923.0
Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,,,,,
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,
Tài sản của bộ phận,Tài sản và nợ phải trả > Tài sản của bộ phận,Tài sản của bộ phận,11.520.328.816.244,830.394.634.514,2.684.836.234.760,-,15.035.559.685.518,11520328816244.0,830394634514.0,2684836234760.0,,15035559685518.0
Tiền và tương đương tiền,Tài sản và nợ phải trả > Tiền và tương đương tiền,Tiền và tương đương tiền,,,,,244.043.296.394,,,,,244043296394.0
Đầu tư vào công ty liên kết,Tài sản và nợ phải trả > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,168.281.629.707,,,,,168281629707.0
Tài sản không phân bổ,Tài sản và nợ phải trả > Tài sản không phân bổ,Tài sản không phân bổ,,,,,104.365.329.752,,,,,104365329752.0
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,,15.552.249.941.371,,,,,15552249941371.0
Nợ phải trả của bộ phận,Tài sản và nợ phải trả > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,(8.151.645.665.633),(1.405.966.480.067),(1.227.519.332.035),-,(10.785.131.477.735),-8151645665633.0,-1405966480067.0,-1227519332035.0,,-10785131477735.0
Nợ phải trả không phân bổ,Tài sản và nợ phải trả > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,(619.093.876.959),,,,,-619093876959.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,,(11.404.225.354.694),,,,,-11404225354694.0
