row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,Phân loại lại,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Phân loại lại,numeric__VND Số cuối năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,4.972.209.990.663,9.491.862.285.976,(9.813.442.416.487),48.527.167.300,4.699.157.027.452,4972209990663.0,9491862285976.0,-9813442416487.0,48527167300.0,4699157027452.0
Vay ngắn hạn từ ngân hàng(Thuyết minh số 23.1),Vay ngắn hạn từ ngân hàng(Thuyết minh số 23.1),Vay ngắn hạn từ ngân hàng(Thuyết minh số 23.1),4.806.641.423.790,9.489.202.832.716,(9.694.155.740.129),-,4.601.688.516.377,4806641423790.0,9489202832716.0,-9694155740129.0,,4601688516377.0
Vay dài hạn từ ngân hàng đến hạn trả(Thuyết minh số 23.3),Vay dài hạn từ ngân hàng đến hạn trả(Thuyết minh số 23.3),Vay dài hạn từ ngân hàng đến hạn trả(Thuyết minh số 23.3),162.147.144.392,2.659.453.260,(119.089.076.358),47.618.464.440,93.335.985.734,162147144392.0,2659453260.0,-119089076358.0,47618464440.0,93335985734.0
Vay bên khác(Thuyết minh số 23.2),Vay bên khác(Thuyết minh số 23.2),Vay bên khác(Thuyết minh số 23.2),3.223.822.481,-,-,-,3.223.822.481,3223822481.0,,,,3223822481.0
Vay dài hạn từ bên khác đến hạn trả(Thuyết minh số 23.4),Vay dài hạn từ bên khác đến hạn trả(Thuyết minh số 23.4),Vay dài hạn từ bên khác đến hạn trả(Thuyết minh số 23.4),197.600.000,-,(197.600.000),908.702.860,908.702.860,197600000.0,,-197600000.0,908702860.0,908702860.0
Dài hạn,Dài hạn,Dài hạn,145.355.543.080,317.878.530.719,(16.239.255.895),(48.527.167.300),398.467.650.604,145355543080.0,317878530719.0,-16239255895.0,-48527167300.0,398467650604.0
Vay dài hạn từ ngân hàng(Thuyết minh số 23.3),Vay dài hạn từ ngân hàng(Thuyết minh số 23.3),Vay dài hạn từ ngân hàng(Thuyết minh số 23.3),139.778.414.988,27.878.530.719,(15.528.153.027),(47.618.464.440),104.510.328.240,139778414988.0,27878530719.0,-15528153027.0,-47618464440.0,104510328240.0
Vay bên khác(Thuyết minh số 23.4),Vay bên khác(Thuyết minh số 23.4),Vay bên khác(Thuyết minh số 23.4),5.577.128.092,-,(711.102.868),(908.702.860),3.957.322.364,5577128092.0,,-711102868.0,-908702860.0,3957322364.0
Trái phiếu(Thuyết minh số 23.5),Trái phiếu(Thuyết minh số 23.5),Trái phiếu(Thuyết minh số 23.5),-,290.000.000.000,-,-,290.000.000.000,,290000000000.0,,,290000000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,5.117.565.533.743,9.809.740.816.695,(9.829.681.672.382),-,5.097.624.678.056,5117565533743.0,9809740816695.0,-9829681672382.0,,5097624678056.0
