row_label_raw,row_label_full,Chi phí thuế TNDN hiện hànhĐiều chỉnh thuế TNDN trích thiếu (thừa) trong những năm trước,Năm nay > 35.984.869.131 > 4.015.018.051 > 39.999.887.182,VNDNăm trước > 20.623.825.692 > (68.356.091) > 20.555.469.601,numeric__Năm nay > 35.984.869.131 > 4.015.018.051 > 39.999.887.182,numeric__VNDNăm trước > 20.623.825.692 > (68.356.091) > 20.555.469.601
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,11.594.455.084,10.135.133.110,11594455084.0,10135133110.0
TỔNG CỔNG,TỔNG CỔNG,TỔNG CỔNG,51.594.342.266,30.690.602.711,51594342266.0,30690602711.0
