row_label_raw,row_label_full,Lê Viết Hòa,Con traichủ tịch,Cho vay,11.000.000.000,-,numeric__Con traichủ tịch,numeric__Cho vay,numeric__11.000.000.000,numeric__-
Nguyễn Trung Kiên,Nguyễn Trung Kiên,Nguyễn Trung Kiên,Giám đốchnhân sự,Cho vay,-,895.000.000,,,,895000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,11.000.000.000,895.000.000,,,11000000000.0,895000000.0
