row_label_raw,row_label_full,col_0,Số đầu năm,Số tăng trong năm,Số giảm trong năm,VND Số cuối năm,numeric__Số đầu năm,numeric__Số tăng trong năm,numeric__Số giảm trong năm,numeric__VND Số cuối năm
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,2.054.535.117,2.235.607.947,233.407.254,4.523.550.318,2054535117.0,2235607947.0,233407254.0,4523550318.0
Thuế thu nhập cá nhân,Phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,24.975.662,2.526.424,-,27.502.086,24975662.0,2526424.0,,27502086.0
Khác,Phải thu > Khác,Khác,14.063.051,(27.584.562),(123.986.205),(137.507.716),14063051.0,-27584562.0,-123986205.0,-137507716.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,2.093.573.830,2.210.549.809,109.421.049,4.413.544.688,2093573830.0,2210549809.0,109421049.0,4413544688.0
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,5.413.057.474,187.305.707.316,(106.673.345.195),86.045.419.595,5413057474.0,187305707316.0,-106673345195.0,86045419595.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,19.131.820.484,40.180.495.575,(23.530.866.404),35.781.449.655,19131820484.0,40180495575.0,-23530866404.0,35781449655.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,8.025.619.482,28.803.195.752,(33.151.465.331),3.677.349.903,8025619482.0,28803195752.0,-33151465331.0,3677349903.0
Khác,Phải nộp > Khác,Khác,4.537.070.298,1.020.476.384,(4.677.793.963),879.752.719,4537070298.0,1020476384.0,-4677793963.0,879752719.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,37.107.567.738,257.309.875.027,(168.033.470.893),126.383.971.872,37107567738.0,257309875027.0,-168033470893.0,126383971872.0
