row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Lợi nhuận chưa thực hiện,Tài sản thuế thu nhập hoãn lại > Lợi nhuận chưa thực hiện,Lợi nhuận chưa thực hiện,21.414.805.865,25.258.987.919,315.960.956,8.682.134.508,21414805865.0,25258987919.0,315960956.0,8682134508.0
Chi phí dự án chưa ghi nhận doanh thu,Tài sản thuế thu nhập hoãn lại > Chi phí dự án chưa ghi nhận doanh thu,Chi phí dự án chưa ghi nhận doanh thu,21.116.729.785,20.109.465.306,1.007.264.479,3.925.293.599,21116729785.0,20109465306.0,1007264479.0,3925293599.0
Dự phòng trợ cấp thời việc,Tài sản thuế thu nhập hoãn lại > Dự phòng trợ cấp thời việc,Dự phòng trợ cấp thời việc,4.810.391.333,5.026.461.333,(216.070.000),(644.442.917),4810391333.0,5026461333.0,-216070000.0,-644442917.0
Dự phòng giảm giá hàng tồn kho,Tài sản thuế thu nhập hoãn lại > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,4.049.615.757,4.059.998.733,(10.382.976),(47.155.490),4049615757.0,4059998733.0,-10382976.0,-47155490.0
Lỗ kỳ trước chuyển sang của các công ty con,Tài sản thuế thu nhập hoãn lại > Lỗ kỳ trước chuyển sang của các công ty con,Lỗ kỳ trước chuyển sang của các công ty con,1.817.071.475,1.817.071.475,-,-,1817071475.0,1817071475.0,,
Dự phòng nợ phải thu khó đòi,Tài sản thuế thu nhập hoãn lại > Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,286.307.623,91.692.848,194.614.775,85.567.098,286307623.0,91692848.0,194614775.0,85567098.0
Chi phí phải trả ngắn hạn,Tài sản thuế thu nhập hoãn lại > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,-,-,-,(36.946.256),,,,-36946256.0
,,,53.494.921.838,56.363.677.614,1.291.387.234,11.964.450.542,53494921838.0,56363677614.0,1291387234.0,11964450542.0
