row_label_raw,row_label_full,Công ty Cổ phần Cơ khívà Nhôm kínhAnh Việt,Công tyliên kết,Chi phíthầu phụ,72.266.363.767,14.079.318.485,numeric__Công tyliên kết,numeric__Chi phíthầu phụ,numeric__72.266.363.767,numeric__14.079.318.485
Công ty Cổ phầnKỹ thuật JescoHòa Bình,Công ty Cổ phầnKỹ thuật JescoHòa Bình,Công ty Cổ phầnKỹ thuật JescoHòa Bình,Công tyliên kết,Chi phíthầu phụ,21.669.275.726,70.066.663.523,,,21669275726.0,70066663523.0
Công ty Cổ phầnTrang trí Nội thấtOnwa Tech,Công ty Cổ phầnTrang trí Nội thấtOnwa Tech,Công ty Cổ phầnTrang trí Nội thấtOnwa Tech,Công tyliên kết,Chi phíthầu phụ,6.645.214.972,3.014.691.057,,,6645214972.0,3014691057.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,100.580.854.465,87.302.513.428,,,100580854465.0,87302513428.0
