row_label_raw,row_label_full,STT,Tên công ty liên kết,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Tên công ty liên kết,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
STT,STT,STT,Tên công ty liên kết,%sở hữu,VND,%sở hữu,VND,,,,,
1.,STT > 1.,1.,Công ty Cổ phần 479 Hòa Bình (i),"49,25",92.374.311.625,49.25,87.309.407.592,,49.25,92374311625.0,4925.0,87309407592.0
2.,STT > 2.,2.,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình (ii),"47,82",30.595.232.693,47.82,32.695.938.903,,47.82,30595232693.0,4782.0,32695938903.0
3.,STT > 3.,3.,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt (iii),"49,10",23.272.700.681,49.10,28.311.584.245,,49.1,23272700681.0,4910.0,28311584245.0
4.,STT > 4.,4.,Công ty Cổ phần Trang trí Nội thất Onwa Tech (iv),"25,53",5.724.851.138,21.51,5.100.095.126,,25.53,5724851138.0,2151.0,5100095126.0
5.,STT > 5.,5.,Công ty Cổ phần Chứng khoán Sen Vàng (Thuyết minh số 4.4),-,-,"42,53",14.864.603.841,,,,42.53,14864603841.0
,,,TỔNG CỘNG,,151.967.096.137,,168.281.629.707,,,151967096137.0,,168281629707.0
