row_label_raw,row_label_full,"Thu nhập của các thành viên của Hội đồng Quản trị, Ban Kiểm toán trực thuộc Hội đồng Quản trị và Ban Tổng Giám đốc như sau:","Thu nhập của các thành viên của Hội đồng Quản trị, Ban Kiểm toán trực thuộc Hội đồng Quản trị và Ban Tổng Giám đốc như sau:_1","Thu nhập của các thành viên của Hội đồng Quản trị, Ban Kiểm toán trực thuộc Hội đồng Quản trị và Ban Tổng Giám đốc như sau:_2","numeric__Thu nhập của các thành viên của Hội đồng Quản trị, Ban Kiểm toán trực thuộc Hội đồng Quản trị và Ban Tổng Giám đốc như sau:_1","numeric__Thu nhập của các thành viên của Hội đồng Quản trị, Ban Kiểm toán trực thuộc Hội đồng Quản trị và Ban Tổng Giám đốc như sau:_2"
,,,Năm nay,VNDNăm trước,,
Hội đồng Quản trịThù lao,Hội đồng Quản trịThù lao,Hội đồng Quản trịThù lao,3.267.851.819,15.167.476.713,3267851819.0,15167476713.0
Ban Tổng Giám đốcLương và thường,Ban Tổng Giám đốcLương và thường,Ban Tổng Giám đốcLương và thường,15.298.809.494,14.914.778.104,15298809494.0,14914778104.0
"Tiểu Ban Kiểm toán trực thuộc Hội đồng Quản trịThù lao, lương và thường","Tiểu Ban Kiểm toán trực thuộc Hội đồng Quản trịThù lao, lương và thường","Tiểu Ban Kiểm toán trực thuộc Hội đồng Quản trịThù lao, lương và thường",1.234.554.867,1.716.913.344,1234554867.0,1716913344.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,19.801.216.180,31.799.168.161,19801216180.0,31799168161.0
