row_label_raw,row_label_full,col_0,Tại ngày1.1.2023VND,Vay dài hạnđến hạn trảVND,GiảmVND,Tại ngày31.12.2023VND,numeric__Tại ngày1.1.2023VND,numeric__Vay dài hạnđến hạn trảVND,numeric__GiảmVND,numeric__Tại ngày31.12.2023VND
Vay ngân hàng dài hạn đến hạn trả,Vay ngân hàng dài hạn đến hạn trả,Vay ngân hàng dài hạn đến hạn trả,22.496.858.992,1.886.618.147.758,(417.836.776.351),1.491.278.230.399,22496858992.0,1886618147758.0,-417836776351.0,1491278230399.0
Chi tiết số dư các khoản vay ngân hàng dài hạn đến hạn trả như sau:,Chi tiết số dư các khoản vay ngân hàng dài hạn đến hạn trả như sau:,Chi tiết số dư các khoản vay ngân hàng dài hạn đến hạn trả như sau:,Chi tiết số dư các khoản vay ngân hàng dài hạn đến hạn trả như sau:,Chi tiết số dư các khoản vay ngân hàng dài hạn đến hạn trả như sau:,Chi tiết số dư các khoản vay ngân hàng dài hạn đến hạn trả như sau:,Chi tiết số dư các khoản vay ngân hàng dài hạn đến hạn trả như sau:,,,,
,,,Tại ngày31.12.2023VND,Mục đích vay,Kỳ hạn trả gốc,Lãi suất(/năm),,,,
"Ngân hàng Mizuho Bank, Ltd","Chi tiết số dư các khoản vay ngân hàng dài hạn đến hạn trả như sau: > Ngân hàng Mizuho Bank, Ltd","Ngân hàng Mizuho Bank, Ltd",621.743.514.672,"Mua sắm, xây dựng TSCĐ",Đến ngày 18 tháng 12 năm 2024,(i),621743514672.0,,,
Ngân hàng TMCP Ngoại thương Việt Nam,Chi tiết số dư các khoản vay ngân hàng dài hạn đến hạn trả như sau: > Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,311.657.142.857,Trà trước cho khoản vay tại ngân hàng nước ngoài,Đến ngày 14 tháng 12 năm 2024,(ii),311657142857.0,,,
Ngân hàng Thương mại Taipei Fubon,Chi tiết số dư các khoản vay ngân hàng dài hạn đến hạn trả như sau: > Ngân hàng Thương mại Taipei Fubon,Ngân hàng Thương mại Taipei Fubon,158.763.690.120,"Mua sắm, xây dựng TSCĐ",Đến ngày 27 tháng 10 năm 2024,(i),158763690120.0,,,
Ngân hàng TMCP Đông Nam Á,Chi tiết số dư các khoản vay ngân hàng dài hạn đến hạn trả như sau: > Ngân hàng TMCP Đông Nam Á,Ngân hàng TMCP Đông Nam Á,127.951.372.279,"Mua sắm, xây dựng TSCĐ",Đến ngày 2 tháng 10 năm 2024,(iii),127951372279.0,,,
Ngân hàng TMCP Sài Gòn - Hà Nội,Chi tiết số dư các khoản vay ngân hàng dài hạn đến hạn trả như sau: > Ngân hàng TMCP Sài Gòn - Hà Nội,Ngân hàng TMCP Sài Gòn - Hà Nội,101.767.516.756,"Mua sắm, xây dựng TSCĐ",Đến ngày 20 tháng 11 năm 2024,(iii),101767516756.0,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Chi tiết số dư các khoản vay ngân hàng dài hạn đến hạn trả như sau: > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,79.174.620.000,"Trà trước cho khoản vay tại Ngân hàng Thương mại Taipei Fubon và mua sắm, xây dựng TSCĐ",Đến ngày 29 tháng 12 năm 2024,(ii),79174620000.0,,,
Ngân hàng TMCP Xuất nhập khẩu Việt Nam,Chi tiết số dư các khoản vay ngân hàng dài hạn đến hạn trả như sau: > Ngân hàng TMCP Xuất nhập khẩu Việt Nam,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,45.226.655.731,"Mua sắm, xây dựng TSCĐ",Đến ngày 30 tháng 6 năm 2024,(iii),45226655731.0,,,
Ngân hàng TMCP Hàng Hải Việt Nam,Chi tiết số dư các khoản vay ngân hàng dài hạn đến hạn trả như sau: > Ngân hàng TMCP Hàng Hải Việt Nam,Ngân hàng TMCP Hàng Hải Việt Nam,44.993.717.984,"Mua sắm, xây dựng TSCĐ",Đến ngày 10 tháng 12 năm 2024,(iv),44993717984.0,,,
,,,1.491.278.230.399,,,,1491278230399.0,,,
