row_label_raw,row_label_full,col_0,Tại ngày1.1.2023VND,TăngVND,Vay dài hạnđến hạn trảVND,GiảmVND,Tại ngày31.12.2023VND,numeric__Tại ngày1.1.2023VND,numeric__TăngVND,numeric__Vay dài hạnđến hạn trảVND,numeric__GiảmVND,numeric__Tại ngày31.12.2023VND
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,5.990.136.184.889,1.942.140.000.000,(1.886.618.147.758),(1.827.002.745.341),4.218.655.291.790,5990136184889.0,1942140000000.0,-1886618147758.0,-1827002745341.0,4218655291790.0
Chi tiết số dư các khoản vay ngân hàng dài hạn như sau:,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau:,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau:,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau:,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau:,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau:,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau:,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau:,,,,,
,,,,Tại ngày31.12.2023VND,Mục đích vay,Kỳ hạn trả gốc,Lãi suất(/năm),,,,,
Ngân hàng TMCP Ngoại thương Việt Nam,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau: > Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,779.142.857.143,Trả trước cho khoản vay tại ngân hàng nước ngoài,,Đến ngày 14 tháng 6 năm 2027,(i),779142857143.0,,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau: > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,772.165.380.000,"Trả trước cho khoản vay tại Ngân hàng Thương mại Taipei Fubon và mua sắm, xây dựng TSCĐ",,Đến ngày 29 tháng 12 năm 2029,(i),772165380000.0,,,,
Ngân hàng TMCP Đông Nam Á,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau: > Ngân hàng TMCP Đông Nam Á,Ngân hàng TMCP Đông Nam Á,767.708.233.673,"Mua sắm, xây dựng TSCĐ",,Đến ngày 2 tháng 10 năm 2030,(ii),767708233673.0,,,,
Ngân hàng Thương mại Taipei Fubon,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau: > Ngân hàng Thương mại Taipei Fubon,Ngân hàng Thương mại Taipei Fubon,705.572.769.098,"Mua sắm, xây dựng TSCĐ",,Đến ngày 27 tháng 4 năm 2030,(iii),705572769098.0,,,,
"Ngân hàng Mizuho Bank, Ltd","Chi tiết số dư các khoản vay ngân hàng dài hạn như sau: > Ngân hàng Mizuho Bank, Ltd","Ngân hàng Mizuho Bank, Ltd",470.758.786.680,"Mua sắm, xây dựng TSCĐ",,Đến ngày 18 tháng 6 năm 2027,(iii),470758786680.0,,,,
Ngân hàng TMCP Sài Gòn - Hà Nội,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau: > Ngân hàng TMCP Sài Gòn - Hà Nội,Ngân hàng TMCP Sài Gòn - Hà Nội,407.070.081.782,"Mua sắm, xây dựng TSCĐ",,Đến ngày 20 tháng 11 năm 2028,(ii),407070081782.0,,,,
Ngân hàng TMCP Xuất nhập khẩu Việt Nam,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau: > Ngân hàng TMCP Xuất nhập khẩu Việt Nam,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,248.746.606.435,"Mua sắm, xây dựng TSCĐ",,Đến ngày 30 tháng 12 năm 2030,(ii),248746606435.0,,,,
Ngân hàng TMCP Hàng Hải Việt Nam,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau: > Ngân hàng TMCP Hàng Hải Việt Nam,Ngân hàng TMCP Hàng Hải Việt Nam,67.490.576.979,"Mua sắm, xây dựng TSCĐ",,Đến ngày 10 tháng 6 năm 2026,(iv),67490576979.0,,,,
,,,4.218.655.291.790,,,,,4218655291790.0,,,,
