row_label_raw,row_label_full,col_0,Tại ngày1.1.2023VND,TăngVND,Cấn trừVND,GiảmVND,Tại ngày31.12.2023VND,numeric__Tại ngày1.1.2023VND,numeric__TăngVND,numeric__Cấn trừVND,numeric__GiảmVND,numeric__Tại ngày31.12.2023VND
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,,,,,
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ > Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,849.716.780.097,6.018.504.088.370,(6.444.350.518.369),-,423.870.350.098,849716780097.0,6018504088370.0,-6444350518369.0,,423870350098.0
Thuế và các khoản (phải thu)/phải nộp Nhà nước,Thuế và các khoản (phải thu)/phải nộp Nhà nước,Thuế và các khoản (phải thu)/phải nộp Nhà nước,Thuế và các khoản (phải thu)/phải nộp Nhà nước,Thuế và các khoản (phải thu)/phải nộp Nhà nước,Thuế và các khoản (phải thu)/phải nộp Nhà nước,Thuế và các khoản (phải thu)/phải nộp Nhà nước,Thuế và các khoản (phải thu)/phải nộp Nhà nước,,,,,
Thuế GTGT,Thuế GTGT,Thuế GTGT,Thuế GTGT,Thuế GTGT,Thuế GTGT,Thuế GTGT,Thuế GTGT,,,,,
Nội địa,Thuế GTGT > Nội địa,Nội địa,64.162.362.046,7.690.884.822.688,(6.444.350.518.369),(1.246.738.347.437),63.958.318.928,64162362046.0,7690884822688.0,-6444350518369.0,-1246738347437.0,63958318928.0
Nhập khẩu,Thuế GTGT > Nhập khẩu,Nhập khẩu,-,1.418.670.486.764,-,(1.418.670.486.764),-,,1418670486764.0,,-1418670486764.0,
Thuế nhập khẩu,Thuế GTGT > Thuế nhập khẩu,Thuế nhập khẩu,(16.782.214.832),428.833.113.782,-,(431.621.028.360),(19.570.129.410),-16782214832.0,428833113782.0,,-431621028360.0,-19570129410.0
Thuế TNDN,Thuế GTGT > Thuế TNDN,Thuế TNDN,721.184.843.657,2.826.176.555.785,-,(3.017.908.564.374),529.452.835.068,721184843657.0,2826176555785.0,,-3017908564374.0,529452835068.0
Thuế TNCN,Thuế GTGT > Thuế TNCN,Thuế TNCN,13.897.086.303,118.773.707.886,-,(116.951.216.031),15.719.578.158,13897086303.0,118773707886.0,,-116951216031.0,15719578158.0
Khác,Thuế GTGT > Khác,Khác,2.633.124.086,108.160.210.211,-,(107.097.053.395),3.696.280.902,2633124086.0,108160210211.0,,-107097053395.0,3696280902.0
,,,785.095.201.260,12.591.498.897.116,(6.444.350.518.369),(6.338.986.696.361),593.256.883.646,785095201260.0,12591498897116.0,-6444350518369.0,-6338986696361.0,593256883646.0
