row_label_raw,row_label_full,Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,12.393.032.532,13.403.350.368,numeric__12.393.032.532,numeric__13.403.350.368
Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,-,83.864.581.685,,83864581685.0
Tổng Công ty Dầu Việt Nam - CTCP,Tổng Công ty Dầu Việt Nam - CTCP,Tổng Công ty Dầu Việt Nam - CTCP,-,18.655.891.973,,18655891973.0
,,,12.393.032.532,115.923.824.026,12393032532.0,115923824026.0
