row_label_raw,row_label_full,Công ty Cổ phần Phân phối Khí thấp áp,Công ty Cổ phần Phân phối Khí thấp áp_1,Công ty Cổ phần Phân phối Khí thấp áp_2,numeric__Công ty Cổ phần Phân phối Khí thấp áp_1,numeric__Công ty Cổ phần Phân phối Khí thấp áp_2
Dầu khí Việt Nam,Dầu khí Việt Nam,Dầu khí Việt Nam,1.659.231.475.633,1.741.896.707.332,1659231475633.0,1741896707332.0
Công ty Cổ phần Kinh doanh LPG Việt Nam,Công ty Cổ phần Kinh doanh LPG Việt Nam,Công ty Cổ phần Kinh doanh LPG Việt Nam,957.162.353.208,645.321.290.423,957162353208.0,645321290423.0
Công ty Cổ phần CNG Việt Nam,Công ty Cổ phần CNG Việt Nam,Công ty Cổ phần CNG Việt Nam,40.286.175.398,-,40286175398.0,
