row_label_raw,row_label_full,col_0,2023 > Giá trị gốc VND,2023 > Giá trị có thể thu hồi VND,2023 > Dự phòng VND,2022 > Giá trị gốc VND,2022 > Giá trị có thể thu hồi VND,2022 > Dự phòng VND,numeric__2023 > Giá trị gốc VND,numeric__2023 > Giá trị có thể thu hồi VND,numeric__2023 > Dự phòng VND,numeric__2022 > Giá trị gốc VND,numeric__2022 > Giá trị có thể thu hồi VND,numeric__2022 > Dự phòng VND
Tổng Công ty Tư vấn,Tổng Công ty Tư vấn,Tổng Công ty Tư vấn,Tổng Công ty Tư vấn,Tổng Công ty Tư vấn,Tổng Công ty Tư vấn,Tổng Công ty Tư vấn,Tổng Công ty Tư vấn,Tổng Công ty Tư vấn,,,,,,
Thiết kế Dầu khí – CTCP,Tổng Công ty Tư vấn > Thiết kế Dầu khí – CTCP,Thiết kế Dầu khí – CTCP,92.522.399.574,12.141.793.426,80.380.606.148,94.325.786.404,13.945.180.256,80.380.606.148,92522399574.0,12141793426.0,80380606148.0,94325786404.0,13945180256.0,80380606148.0
Trên 3 năm,Tổng Công ty Tư vấn > Trên 3 năm,Trên 3 năm,74.709.484.775,-,74.709.484.775,70.015.179.702,-,70.015.179.702,74709484775.0,,74709484775.0,70015179702.0,,70015179702.0
Từ 2 năm đến 3 năm,Tổng Công ty Tư vấn > Từ 2 năm đến 3 năm,Từ 2 năm đến 3 năm,9.873.118.016,4.201.996.643,5.671.121.373,11.267.962.106,902.535.660,10.365.426.446,9873118016.0,4201996643.0,5671121373.0,11267962106.0,902535660.0,10365426446.0
Từ 1 năm đến 2 năm,Tổng Công ty Tư vấn > Từ 1 năm đến 2 năm,Từ 1 năm đến 2 năm,4.754.289.870,4.754.289.870,-,9.873.118.016,9.873.118.016,-,4754289870.0,4754289870.0,,9873118016.0,9873118016.0,
Từ 6 tháng đến 1 năm,Tổng Công ty Tư vấn > Từ 6 tháng đến 1 năm,Từ 6 tháng đến 1 năm,3.185.506.913,3.185.506.913,-,3.169.526.580,3.169.526.580,-,3185506913.0,3185506913.0,,3169526580.0,3169526580.0,
Chi nhánh Tổng Công ty Điện lực,Chi nhánh Tổng Công ty Điện lực,Chi nhánh Tổng Công ty Điện lực,Chi nhánh Tổng Công ty Điện lực,Chi nhánh Tổng Công ty Điện lực,Chi nhánh Tổng Công ty Điện lực,Chi nhánh Tổng Công ty Điện lực,Chi nhánh Tổng Công ty Điện lực,Chi nhánh Tổng Công ty Điện lực,,,,,,
Dầu khí Việt Nam - CTCP - Công ty,Dầu khí Việt Nam - CTCP - Công ty,Dầu khí Việt Nam - CTCP - Công ty,Dầu khí Việt Nam - CTCP - Công ty,Dầu khí Việt Nam - CTCP - Công ty,Dầu khí Việt Nam - CTCP - Công ty,Dầu khí Việt Nam - CTCP - Công ty,Dầu khí Việt Nam - CTCP - Công ty,Dầu khí Việt Nam - CTCP - Công ty,,,,,,
Điện lực Dầu khí Nhơn Trạch,Dầu khí Việt Nam - CTCP - Công ty > Điện lực Dầu khí Nhơn Trạch,Điện lực Dầu khí Nhơn Trạch,448.713.834.781,246.073.305.492,202.640.529.289,531.852.562.473,309.290.582.721,222.561.979.752,448713834781.0,246073305492.0,202640529289.0,531852562473.0,309290582721.0,222561979752.0
Trên 3 năm,Dầu khí Việt Nam - CTCP - Công ty > Trên 3 năm,Trên 3 năm,77.755.425.014,-,77.755.425.014,53.415.208.166,-,53.415.208.166,77755425014.0,,77755425014.0,53415208166.0,,53415208166.0
Từ 2 năm đến 3 năm,Dầu khí Việt Nam - CTCP - Công ty > Từ 2 năm đến 3 năm,Từ 2 năm đến 3 năm,26.647.345.500,7.914.796.827,18.732.548.673,22.423.465.443,6.727.039.633,15.696.425.810,26647345500.0,7914796827.0,18732548673.0,22423465443.0,6727039633.0,15696425810.0
