row_label_raw,row_label_full,Nguyễn Thanh Bình - Chủ tịch(từ 25 tháng 5 năm 2023) > Dương Mạnh Sơn - Chủ tịch(đến 25 tháng 5 năm 2023),1.868.355.628 > 882.896.878,1.561.038.282 > 2.050.904.261,numeric__1.868.355.628 > 882.896.878,numeric__1.561.038.282 > 2.050.904.261
Võ Thị Thanh Ngọc - Thành viên,Võ Thị Thanh Ngọc - Thành viên,Võ Thị Thanh Ngọc - Thành viên,1.912.986.442,1.762.710.752,1912986442.0,1762710752.0
Đỗ Đông Nguyễn - Thành viên,Đỗ Đông Nguyễn - Thành viên,Đỗ Đông Nguyễn - Thành viên,1.842.515.677,1.622.019.813,1842515677.0,1622019813.0
Trương Hồng Sơn - Thành viên,Trương Hồng Sơn - Thành viên,Trương Hồng Sơn - Thành viên,1.842.515.677,1.622.019.813,1842515677.0,1622019813.0
Phạm Văn Phong - Thành viênkiêm Tổng Giám đốc,Phạm Văn Phong - Thành viênkiêm Tổng Giám đốc,Phạm Văn Phong - Thành viênkiêm Tổng Giám đốc,1.812.005.216,1.498.631.174,1812005216.0,1498631174.0
Triệu Quốc Tuấn - Thành viên,Triệu Quốc Tuấn - Thành viên,Triệu Quốc Tuấn - Thành viên,1.731.879.909,1.441.317.063,1731879909.0,1441317063.0
Hoàng Văn Quang - Thành viên(đến ngày 25 tháng 5 năm 2023),Hoàng Văn Quang - Thành viên(đến ngày 25 tháng 5 năm 2023),Hoàng Văn Quang - Thành viên(đến ngày 25 tháng 5 năm 2023),1.135.040.283,1.768.938.968,1135040283.0,1768938968.0
