row_label_raw,row_label_full,Tại ngày 1 tháng 1 năm 2022,Vốn góp của chủ sở hữu VND > 19.139.500.000.000,Thặng dư vốn cổ phần VND > 210.679.541.297,Quỹ đầu tư phát triển VND > 20.791.553.148.710,LNST chưa phân phối lũy kế của các năm trước VND > 2.764.914.754.626,LNST chưa phân phối của năm nay VND > 8.459.247.541.098,Tổng cộng VND > 51.365.894.985.731,numeric__Vốn góp của chủ sở hữu VND > 19.139.500.000.000,numeric__Thặng dư vốn cổ phần VND > 210.679.541.297,numeric__Quỹ đầu tư phát triển VND > 20.791.553.148.710,numeric__LNST chưa phân phối lũy kế của các năm trước VND > 2.764.914.754.626,numeric__LNST chưa phân phối của năm nay VND > 8.459.247.541.098,numeric__Tổng cộng VND > 51.365.894.985.731
Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,-,-,-,8.459.247.541.098,(8.459.247.541.098),-,,,,8459247541098.0,-8459247541098.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,14.594.849.807.448,14.594.849.807.448,,,,,14594849807448.0,14594849807448.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)",-,-,-,(154.701.968.217),(146.439.569.883),(301.141.538.100),,,,-154701968217.0,-146439569883.0,-301141538100.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(5.741.850.000.000),-,(5.741.850.000.000),,,,-5741850000000.0,,-5741850000000.0
Khác,Khác,Khác,-,-,-,19.578.830.670,-,19.578.830.670,,,,19578830670.0,,19578830670.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,19.139.500.000.000,210.679.541.297,20.791.553.148.710,5.347.189.158.177,14.448.410.237.565,59.937.332.085.749,19139500000000.0,210679541297.0,20791553148710.0,5347189158177.0,14448410237565.0,59937332085749.0
Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,-,-,-,14.448.410.237.565,(14.448.410.237.565),-,,,,14448410237565.0,-14448410237565.0,
Vốn tăng trong năm (i),Vốn tăng trong năm (i),Vốn tăng trong năm (i),3.827.898.470.000,(210.432.814.031),(3.617.465.655.969),-,-,-,3827898470000.0,-210432814031.0,-3617465655969.0,,,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,11.556.804.668.103,11.556.804.668.103,,,,,11556804668103.0,11556804668103.0
Trích quỹ đầu tư phát triển (ii),Trích quỹ đầu tư phát triển (ii),Trích quỹ đầu tư phát triển (ii),-,-,6.526.000.000.000,(6.526.000.000.000),-,-,,,6526000000000.0,-6526000000000.0,,
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19) (ii)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19) (ii)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19) (ii)",-,-,-,(203.883.808.527),(173.750.000.000),(377.633.808.527),,,,-203883808527.0,-173750000000.0,-377633808527.0
Chia cổ tức (ii),Chia cổ tức (ii),Chia cổ tức (ii),-,-,-,(6.890.220.000.000),-,(6.890.220.000.000),,,,-6890220000000.0,,-6890220000000.0
Khác,Khác,Khác,-,-,-,(101.506.691.333),-,(101.506.691.333),,,,-101506691333.0,,-101506691333.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,22.967.398.470.000,246.727.266,23.700.087.492.741,6.073.988.895.882,11.383.054.668.103,64.124.776.253.992,22967398470000.0,246727266.0,23700087492741.0,6073988895882.0,11383054668103.0,64124776253992.0
