row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,31.12.2025Triệu đồng,31.12.2024Triệu đồng,,
Thu nhập từ hoạt động kinh doanh ngoại hối,Thu nhập từ hoạt động kinh doanh ngoại hối,Thu nhập từ hoạt động kinh doanh ngoại hối,9.347.338,14.275.093,9347338.0,14275093.0
Thu nhập từ mua bán ngoại tệ giao ngay,Thu nhập từ mua bán ngoại tệ giao ngay,Thu nhập từ mua bán ngoại tệ giao ngay,4.146.675,6.560.808,4146675.0,6560808.0
Thu nhập từ kinh doanh vàng,Thu nhập từ kinh doanh vàng,Thu nhập từ kinh doanh vàng,,46.496,,46496.0
Thu nhập từ công cụ tài chính phải sinh tiền tệ,Thu nhập từ công cụ tài chính phải sinh tiền tệ,Thu nhập từ công cụ tài chính phải sinh tiền tệ,5.200.663,7.667.789,5200663.0,7667789.0
Chi phí từ hoạt động kinh doanh ngoại hối,Chi phí từ hoạt động kinh doanh ngoại hối,Chi phí từ hoạt động kinh doanh ngoại hối,(6.284.447),(10.168.888),-6284447.0,-10168888.0
Chi phí từ mua bán ngoại tệ giao ngay,Chi phí từ mua bán ngoại tệ giao ngay,Chi phí từ mua bán ngoại tệ giao ngay,(372.190),(998.350),-372190.0,-998350.0
Chi phí kinh doanh vàng,Chi phí kinh doanh vàng,Chi phí kinh doanh vàng,,(25.866),,-25866.0
Chi phí từ công cụ tài chính phải sinh tiền tệ,Chi phí từ công cụ tài chính phải sinh tiền tệ,Chi phí từ công cụ tài chính phải sinh tiền tệ,(5.912.257),(9.144.672),-5912257.0,-9144672.0
Lãi thuần,Lãi thuần,Lãi thuần,3.062.891,4.106.205,3062891.0,4106205.0
