row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày 31 tháng 12 năm > 2025Triệu đồng,Tại ngày 31 tháng 12 năm > 2024Triệu đồng,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2025Triệu đồng,numeric__Tại ngày 31 tháng 12 năm > 2024Triệu đồng
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,"Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam (""NHNN"")",13,144.592.357,154.284.104,,13.0,144592357.0,154284104.0
1,B > 1,1,"Tiền gửi và vay Chính phủ, NHNN",,141.627.156,154.284.104,,,141627156.0,154284104.0
2,B > 2,2,Giao dịch bán và mua lại trải phiếu Chính phủ với Kho bạc Nhà nước,,2.965.201,-,,,2965201.0,
II,B > II,II,Tiền gửi và vay các tổ chức tin dụng khác,,406.634.996,267.439.256,,,406634996.0,267439256.0
1,B > 1,1,Tiền gửi của các tổ chức tin dụng khác,14.1,398.439.848,252.619.168,,141.0,398439848.0,252619168.0
2,B > 2,2,Vay các tổ chức tin dụng khác,14.2,8.195.148,14.820.088,,142.0,8195148.0,14820088.0
III,B > III,III,Tiền gửi của khách hàng,15,1.790.691.987,1.603.421.091,,15.0,1790691987.0,1603421091.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,6,-,398.121,,6.0,,398121.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",16,1.995.558,2.079.503,,16.0,1995558.0,2079503.0
VI,B > VI,VI,Phát hành giấy tờ có giả,17,174.030.352,151.853.590,,17.0,174030352.0,151853590.0
VII,B > VII,VII,Các khoản nợ khác,,45.056.273,37.946.821,,,45056273.0,37946821.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,26.570.491,20.964.130,,,26570491.0,20964130.0
3,B > 3,3,Các khoản phải trả và công nợ khác,18,18.485.782,16.982.691,,18.0,18485782.0,16982691.0
,,,TỔNG NỘ PHẢI TRẢ,,2.563.001.523,2.217.422.486,,,2563001523.0,2217422486.0
VIII,B > VIII,VIII,VỐN CHỦ SỞ HỮU,19,172.387.355,143.143.787,,19.0,172387355.0,143143787.0
1,B > 1,1,Vốn của tổ chức tin dụng,,86.639.273,62.669.744,,,86639273.0,62669744.0
a,B > a,a,Vốn điều lệ,,77.669.446,53.699.917,,,77669446.0,53699917.0
b,B > b,b,Thặng dư vốn cổ phần,,8.969.827,8.969.827,,,8969827.0,8969827.0
2,B > 2,2,Quỹ của tổ chức tin dụng,,31.083.510,24.831.290,,,31083510.0,24831290.0
5,B > 5,5,Lợi nhuận chưa phân phối,,54.664.572,55.642.753,,,54664572.0,55642753.0
,,,TỔNG VỐN,,172.387.355,143.143.787,,,172387355.0,143143787.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,2.735.388.878,2.360.566.273,,,2735388878.0,2360566273.0
