row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,31.12.2025Triệu đồng,31.12.2024Triệu đồng,,
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,11.761.417,10.569.077,11761417.0,10569077.0
Thu nhập từ nợ xấu đã được xử lý,Thu nhập từ nợ xấu đã được xử lý,Thu nhập từ nợ xấu đã được xử lý,9.952.260,8.341.644,9952260.0,8341644.0
"Thu nhập từ chuyển nhượng, thanh lý tài sản","Thu nhập từ chuyển nhượng, thanh lý tài sản","Thu nhập từ chuyển nhượng, thanh lý tài sản",21.102,14.715,21102.0,14715.0
Thu nhập từ công cụ phải sinh khác,Thu nhập từ công cụ phải sinh khác,Thu nhập từ công cụ phải sinh khác,912.971,1.111.456,912971.0,1111456.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,875.084,1.101.262,875084.0,1101262.0
Chi phí từ hoạt động khác,Chi phí từ hoạt động khác,Chi phí từ hoạt động khác,(1.537.805),(2.141.843),-1537805.0,-2141843.0
Chi phí từ công cụ phải sinh khác,Chi phí từ công cụ phải sinh khác,Chi phí từ công cụ phải sinh khác,(911.367),(1.659.060),-911367.0,-1659060.0
"Chi phí từ chuyển nhượng, thanh lý tài sản","Chi phí từ chuyển nhượng, thanh lý tài sản","Chi phí từ chuyển nhượng, thanh lý tài sản",(3.849),(2.641),-3849.0,-2641.0
Chi phí khác,Chi phí khác,Chi phí khác,(622.589),(480.142),-622589.0,-480142.0
Lãi thuần,Lãi thuần,Lãi thuần,10.223.612,8.427.234,10223612.0,8427234.0
