row_label_raw,row_label_full,Chi tiêu,Tại ngày1.1.2025Triệu đồng,Phát sinh trong năm > Số phải nộpTriệu đồng,Phát sinh trong năm > Số đã nộpTriệu đồng,Tại ngày31.12.2025Triệu đồng,numeric__Tại ngày1.1.2025Triệu đồng,numeric__Phát sinh trong năm > Số phải nộpTriệu đồng,numeric__Phát sinh trong năm > Số đã nộpTriệu đồng,numeric__Tại ngày31.12.2025Triệu đồng
Thuế GTGT đầu ra,Thuế GTGT đầu ra,Thuế GTGT đầu ra,87.168,792.951,(792.023),88.096,87168.0,792951.0,-792023.0,88096.0
Thuế TNDN(Thuyết minh 29),Thuế TNDN(Thuyết minh 29),Thuế TNDN(Thuyết minh 29),3.278.554,8.240.651,(7.282.332),4.236.873,3278554.0,8240651.0,-7282332.0,4236873.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,139.803,1.321.486,(1.317.239),144.050,139803.0,1321486.0,-1317239.0,144050.0
,,,3.505.525,10.355.088,(9.391.594),4.469.019,3505525.0,10355088.0,-9391594.0,4469019.0
