row_label_raw,row_label_full,Họ tên,Chức vụ,Ngày bổ nhiệm/miền nhiệm,Năm tài chínhkết thúc ngày > 31.12.2025Triệu đồng,Năm tài chínhkết thúc ngày > 31.12.2024Triệu đồng,numeric__Chức vụ,numeric__Ngày bổ nhiệm/miền nhiệm,numeric__Năm tài chínhkết thúc ngày > 31.12.2025Triệu đồng,numeric__Năm tài chínhkết thúc ngày > 31.12.2024Triệu đồng
HỘI ĐỒNG QUẢN TRỊ,HỘI ĐỒNG QUẢN TRỊ,HỘI ĐỒNG QUẢN TRỊ,HỘI ĐỒNG QUẢN TRỊ,HỘI ĐỒNG QUẢN TRỊ,HỘI ĐỒNG QUẢN TRỊ,HỘI ĐỒNG QUẢN TRỊ,,,,
Ông Trần Minh Bình,HỘI ĐỒNG QUẢN TRỊ > Ông Trần Minh Bình,Ông Trần Minh Bình,Chủ tịch,,2.682,2.583,,,2682.0,2583.0
Ông Trần Văn Tần,HỘI ĐỒNG QUẢN TRỊ > Ông Trần Văn Tần,Ông Trần Văn Tần,Thành viên,,2.233,1.712,,,2233.0,1712.0
Ông Lê Thanh Tùng,HỘI ĐỒNG QUẢN TRỊ > Ông Lê Thanh Tùng,Ông Lê Thanh Tùng,Thành viên,,2.214,1.694,,,2214.0,1694.0
Ông Nguyễn Thế Huấn,HỘI ĐỒNG QUẢN TRỊ > Ông Nguyễn Thế Huấn,Ông Nguyễn Thế Huấn,Thành viên,,2.270,1.938,,,2270.0,1938.0
Bà Phạm Thị Thanh Hoài,HỘI ĐỒNG QUẢN TRỊ > Bà Phạm Thị Thanh Hoài,Bà Phạm Thị Thanh Hoài,Thành viên,,2.214,1.694,,,2214.0,1694.0
Ông Nguyễn Đức Thành,HỘI ĐỒNG QUẢN TRỊ > Ông Nguyễn Đức Thành,Ông Nguyễn Đức Thành,Thành viên,Miễn nhiệm từ ngày17 tháng 4 năm 2025,669,2.140,,,669.0,2140.0
Ông Cát Quang Dương,HỘI ĐỒNG QUẢN TRỊ > Ông Cát Quang Dương,Ông Cát Quang Dương,Thành viên độc lập,,1.800,1.200,,,1800.0,1200.0
Ông Nguyễn Việt Dũng,HỘI ĐỒNG QUẢN TRỊ > Ông Nguyễn Việt Dũng,Ông Nguyễn Việt Dũng,Thành viên,,2.245,340,,,2245.0,340.0
Ông Nguyễn Văn Anh,HỘI ĐỒNG QUẢN TRỊ > Ông Nguyễn Văn Anh,Ông Nguyễn Văn Anh,Thành viên,Bổ nhiệm ngày18 tháng 4 năm 2025,1.561,-,,,1561.0,
Thành viên do đối tác MUFJđể cử (*),HỘI ĐỒNG QUẢN TRỊ > Thành viên do đối tác MUFJđể cử (*),Thành viên do đối tác MUFJđể cử (*),Thành viên,,471,452,,,471.0,452.0
BAN KIỂM SOẮT,BAN KIỂM SOẮT,BAN KIỂM SOẮT,BAN KIỂM SOẮT,BAN KIỂM SOẮT,BAN KIỂM SOẮT,BAN KIỂM SOẮT,,,,
Bả Lê Anh Hà,BAN KIỂM SOẮT > Bả Lê Anh Hà,Bả Lê Anh Hà,Trường ban Kiểm soát,,2.214,1.684,,,2214.0,1684.0
Bà Nguyễn Thị Anh Thư,BAN KIỂM SOẮT > Bà Nguyễn Thị Anh Thư,Bà Nguyễn Thị Anh Thư,Thành viên,,1.773,1.270,,,1773.0,1270.0
Bà Phạm Thị Thơm,BAN KIỂM SOẮT > Bà Phạm Thị Thơm,Bà Phạm Thị Thơm,Thành viên,Miễn nhiệm từ ngày1 tháng 11 năm 2025,1.330,985,,,1330.0,985.0
Ông Nguyễn Hải Đăng,BAN KIỂM SOẮT > Ông Nguyễn Hải Đăng,Ông Nguyễn Hải Đăng,Thành viên,Bổ nhiệm ngày18 tháng 4 năm 2025,1.130,-,,,1130.0,
Bà Phạm Thị Thu Huyền,BAN KIỂM SOẮT > Bà Phạm Thị Thu Huyền,Bà Phạm Thị Thu Huyền,Thành viên,Bổ nhiệm ngày18 tháng 4 năm 2025,1.133,-,,,1133.0,
Bà Mai Hương Thảo,BAN KIỂM SOẮT > Bà Mai Hương Thảo,Bà Mai Hương Thảo,Thành viên,Bổ nhiệm ngày1 tháng 7 năm 2025,789,-,,,789.0,
BAN ĐIỀU HÀNH VÀ KẾ TOÁN TRƯỜNG,BAN ĐIỀU HÀNH VÀ KẾ TOÁN TRƯỜNG,BAN ĐIỀU HÀNH VÀ KẾ TOÁN TRƯỜNG,BAN ĐIỀU HÀNH VÀ KẾ TOÁN TRƯỜNG,BAN ĐIỀU HÀNH VÀ KẾ TOÁN TRƯỜNG,BAN ĐIỀU HÀNH VÀ KẾ TOÁN TRƯỜNG,BAN ĐIỀU HÀNH VÀ KẾ TOÁN TRƯỜNG,,,,
Ông Nguyễn Trần Mạnh Trung,BAN ĐIỀU HÀNH VÀ KẾ TOÁN TRƯỜNG > Ông Nguyễn Trần Mạnh Trung,Ông Nguyễn Trần Mạnh Trung,Tổng Giám đốc,,2.526,1.910,,,2526.0,1910.0
Ông Đỗ Thanh Sơn,BAN ĐIỀU HÀNH VÀ KẾ TOÁN TRƯỜNG > Ông Đỗ Thanh Sơn,Ông Đỗ Thanh Sơn,Phó Tổng Giám đốc,,2.214,2.303,,,2214.0,2303.0
Ông Trần Công Quỳnh Lân,BAN ĐIỀU HÀNH VÀ KẾ TOÁN TRƯỜNG > Ông Trần Công Quỳnh Lân,Ông Trần Công Quỳnh Lân,Phó Tổng Giám đốc,,2.470,2.379,,,2470.0,2379.0
Bà Lê Như Hoa,BAN ĐIỀU HÀNH VÀ KẾ TOÁN TRƯỜNG > Bà Lê Như Hoa,Bà Lê Như Hoa,Phó Tổng Giám đốc,,2.233,1.901,,,2233.0,1901.0
Ông Lê Duy Hải,BAN ĐIỀU HÀNH VÀ KẾ TOÁN TRƯỜNG > Ông Lê Duy Hải,Ông Lê Duy Hải,Phó Tổng Giám đốc,,2.251,1.777,,,2251.0,1777.0
Ông Nguyễn Đức Thành,BAN ĐIỀU HÀNH VÀ KẾ TOÁN TRƯỜNG > Ông Nguyễn Đức Thành,Ông Nguyễn Đức Thành,Phó Tổng Giám đốc,Bổ nhiệm ngày18 tháng 4 năm 2025,1.582,-,,,1582.0,
