row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu đồng,Phần mềm máytình và TSCĐvõ hình khácTriệu đồng,Tổng cộngTriệu đồng,numeric__Quyền sử dụng đấtTriệu đồng,numeric__Phần mềm máytình và TSCĐvõ hình khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2025,Nguyên giá > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,4.056.328,2.697.339,6.753.667,4056328.0,2697339.0,6753667.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,78.650,432.965,511.615,78650.0,432965.0,511615.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(84.801),(1.197),(85.998),-84801.0,-1197.0,-85998.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,(3.073),(3.073),,-3073.0,-3073.0
Tại ngày 31 tháng 12 năm 2025,Nguyên giá > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,4.050.177,3.126.034,7.176.211,4050177.0,3126034.0,7176211.0
