row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,EUR quy đổi,USD quy đổi,Ngoại tệ khácđược quy đổi,Tổng cộng,numeric__EUR quy đổi,numeric__USD quy đổi,numeric__Ngoại tệ khácđược quy đổi,numeric__Tổng cộng
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,
"Tiền mặt, vàng bạc, đá quỹ","Tải sản > Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",227.582,844.693,162.984,1.235.259,227582.0,844693.0,162984.0,1235259.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,44.254,3.570.081,,3.614.335,44254.0,3570081.0,,3614335.0
Tiền gửi và cho vay các TCTD khác (*),Tải sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),2.311.218,146.219.190,68.668.936,217.199.344,2311218.0,146219190.0,68668936.0,217199344.0
Công cu tài chính phải sinh và cáctài sản tài chính khác,Tải sản > Công cu tài chính phải sinh và cáctài sản tài chính khác,Công cu tài chính phải sinh và cáctài sản tài chính khác,3.439,7.196.914,6.306.454,13.506.807,3439.0,7196914.0,6306454.0,13506807.0
Cho vay khách hàng (*),Tải sản > Cho vay khách hàng (*),Cho vay khách hàng (*),1.302.955,73.694.814,92.483,75.090.252,1302955.0,73694814.0,92483.0,75090252.0
TSCĐ,Tải sản > TSCĐ,TSCĐ,33.815,,,33.815,33815.0,,,33815.0
Các tài sản Có khác (*),Tải sản > Các tài sản Có khác (*),Các tài sản Có khác (*),145.593,1.004.106,59.995,1.209.694,145593.0,1004106.0,59995.0,1209694.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,4.068.856,232.529.798,75.290.852,311.889.506,4068856.0,232529798.0,75290852.0,311889506.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,241.941,92.054.353,73.171.654,165.467.948,241941.0,92054353.0,73171654.0,165467948.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,3.569.216,121.237.752,1.850.519,126.657.487,3569216.0,121237752.0,1850519.0,126657487.0
Các công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Các công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,123.412,18.355.452,99.492,18.578.356,123412.0,18355452.0,99492.0,18578356.0
"Vốn tài trợ, ủy thác đầu tư, cho vaymà TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vaymà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vaymà TCTD chịu rủi ro",128.960,1.506.451,,1.635.411,128960.0,1506451.0,,1635411.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,,47,,47,,47.0,,47.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,95.032,1.052.620,62.361,1.210.013,95032.0,1052620.0,62361.0,1210013.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,4.158.561,234.206.675,75.184.026,313.549.262,4158561.0,234206675.0,75184026.0,313549262.0
Trạng thái tiền tệ nội bảng,Nợ phải trả > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,(89.705),(1.676.877),106.826,(1.659.756),-89705.0,-1676877.0,106826.0,-1659756.0
Trạng thái tiền tệ ngoại bảng,Nợ phải trả > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,(32.633),1.234.340,(55.684),1.146.023,-32633.0,1234340.0,-55684.0,1146023.0
"Trạng thái tiền tệ nội, ngoại bảng","Nợ phải trả > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",(122.338),(442.537),51.142,(513.733),-122338.0,-442537.0,51142.0,-513733.0
