row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2025Triệu đồng,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024Triệu đồng,numeric__col_1,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2025Triệu đồng,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024Triệu đồng
01,01,01,"LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪMua sắm tài sản cố định (""TSCĐ"")",,(1.973.934),(1.284.157),,,-1973934.0,-1284157.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán TSCĐ",,21.102,14.715,,,21102.0,14715.0
03,03,03,"Tiền chi từ thanh lý, nhượng bán TSCĐ",,(3.849),(2.641),,,-3849.0,-2641.0
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,125.358,71.871,,,125358.0,71871.0
II,II,II,LU'U CHUYÊN TIÊN THUÂN TỪ HOẠT ĐỘNG ĐẦU TỪ,,(1.831.323),(1.200.212),,,-1831323.0,-1200212.0
04,04,04,"LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNHCổ tức trả cho cổ đông, lợi nhuận đã chia",,(2.416.496),-,,,-2416496.0,
III,III,III,LU'U CHUYÊN TIÊN THUÂN TỪ HOẠT ĐỘNG TÀI CHÍNH,,(2.416.496),-,,,-2416496.0,
IV,IV,IV,LU'U CHUYÊN TIÊN THUÂN TRONG NĂM,,76.421.576,100.747.559,,,76421576.0,100747559.0
V,V,V,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM ĐẦU NĂM,30,374.118.681,273.371.122,,30.0,374118681.0,273371122.0
VII,VII,VII,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM CUỐI NĂM,30,450.540.257,374.118.681,,30.0,450540257.0,374118681.0
