row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,Quá hạn > Trên 3 tháng,Quá hạn > Đến 3 tháng,Trong hạn > Đến 1 tháng,Trong hạn > Từ trên1 thángđến 3 tháng,Trong hạn > Từ trên3 thángđến 12 tháng,Trong hạn > Từ trên1 nàmdến 5 năm,Trong hạn > Trên 5 năm,Tổng cộng,numeric__Quá hạn > Trên 3 tháng,numeric__Quá hạn > Đến 3 tháng,numeric__Trong hạn > Đến 1 tháng,numeric__Trong hạn > Từ trên1 thángđến 3 tháng,numeric__Trong hạn > Từ trên3 thángđến 12 tháng,numeric__Trong hạn > Từ trên1 nàmdến 5 năm,numeric__Trong hạn > Trên 5 năm,numeric__Tổng cộng
Tải sản,Tải sản,Tải sản,,,,,,,,12.437.630,,,,,,,,12437630.0
"Tiền mặt, vàng bạc, đã quý","Tiền mặt, vàng bạc, đã quý","Tiền mặt, vàng bạc, đã quý",-,-,12.437.630,-,-,-,-,35.225.038,,,12437630.0,,,,,35225038.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,35.225.038,-,-,-,-,469.353.629,,,35225038.0,,,,,469353629.0
Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),-,-,405.960.668,24.812.966,38.283.748,296.247,-,228.448,,,405960668.0,24812966.0,38283748.0,296247.0,,228448.0
Các công cu tài chính phải sinh vàcác tải sản tài chính khác,Các công cu tài chính phải sinh vàcác tải sản tài chính khác,Các công cu tài chính phải sinh vàcác tải sản tài chính khác,-,-,228.448,-,-,-,-,1.975.769.213,,,228448.0,,,,,1975769213.0
Cho vay khách hàng (*),Cho vay khách hàng (*),Cho vay khách hàng (*),21.800.043,17.244.123,170.932.118,440.098.958,674.000.980,275.980.217,375.712.774,209.087.755,21800043.0,17244123.0,170932118.0,440098958.0,674000980.0,275980217.0,375712774.0,209087755.0
Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),386.778,-,14.386.166,21.732.000,52.495.000,45.002.455,75.085.356,5.835.582,386778.0,,14386166.0,21732000.0,52495000.0,45002455.0,75085356.0,5835582.0
"Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,-,-,-,-,-,5.835.582,10.571.366,,,,,,,5835582.0,10571366.0
TSCĐ,TSCĐ,TSCĐ,-,-,-,-,-,-,10.571.366,10.571.366,,,,,,,10571366.0,10571366.0
Tải sản Có khác (*),Tải sản Có khác (*),Tải sản Có khác (*),79.156,-,4.821.200,11.731.006,17.428.493,2.432.616,15.461.990,51.954.461,79156.0,,4821200.0,11731006.0,17428493.0,2432616.0,15461990.0,51954461.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,22.265.977,17.244.123,643.991.268,498.374.930,782.208.221,323.711.535,482.667.068,2.770.463.122,22265977.0,17244123.0,643991268.0,498374930.0,782208221.0,323711535.0,482667068.0,2770463122.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,144.592.357,,,,,,,,144592357.0
Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,108.497.420,35.795.381,299.556,-,-,406.634.996,,,108497420.0,35795381.0,299556.0,,,406634996.0
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,396.982.322,9.287.006,365.668,-,-,1.790.691.987,,,396982322.0,9287006.0,365668.0,,,1790691987.0
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,223.843.043,322.521.903,773.981.685,470.224.150,121.206,1.995.558,,,223843043.0,322521903.0,773981685.0,470224150.0,121206.0,1995558.0
"Vốn tải tro, ủy thác đầu tư, cho vaymã TCTD chịu rủi ro","Vốn tải tro, ủy thác đầu tư, cho vaymã TCTD chịu rủi ro","Vốn tải tro, ủy thác đầu tư, cho vaymã TCTD chịu rủi ro",-,-,-,42.976,44.357,343.812,1.564.413,174.030.352,,,,42976.0,44357.0,343812.0,1564413.0,174030352.0
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,2.500,-,263.417,45.633.840,74.608.975,22.050,53.499.570,45.056.273,2500.0,,263417.0,45633840.0,74608975.0,22050.0,53499570.0,45056273.0
Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác,-,-,20.306.033,15.347.839,8.089.803,770.423,542.175,2.563.001.523,,,20306033.0,15347839.0,8089803.0,770423.0,542175.0,2563001523.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,2.500,-,749.892.235,428.628.945,857.390.044,471.360.435,55.727.364,207.461.599,2500.0,,749892235.0,428628945.0,857390044.0,471360435.0,55727364.0,207461599.0
Mức chênh lệch thanh khoản ròng,Mức chênh lệch thanh khoản ròng,Mức chênh lệch thanh khoản ròng,22.263.477,17.244.123,(105.900.967),69.745.985,(75.181.823),(147.648.900),426.939.704,,22263477.0,17244123.0,-105900967.0,69745985.0,-75181823.0,-147648900.0,426939704.0,
