row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng","Máy móc,thiết bịTriệu đồng",Phương tiện vậntải và thiết bịtruyền đãnTriệu đồng,Thiết bị dụng cụquản lý và TSCĐhửu hình khácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng","numeric__Máy móc,thiết bịTriệu đồng",numeric__Phương tiện vậntải và thiết bịtruyền đãnTriệu đồng,numeric__Thiết bị dụng cụquản lý và TSCĐhửu hình khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2025,Nguyên giá > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,8.440.073,6.036.275,1.948.638,475.004,16.899.990,8440073.0,6036275.0,1948638.0,475004.0,16899990.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,22.534,866.634,129.278,102.620,1.121.066,22534.0,866634.0,129278.0,102620.0,1121066.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,295.586,44.827,11.938,35.441,387.792,295586.0,44827.0,11938.0,35441.0,387792.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(11.238),(140.976),(102.735),(5.414),(260.363),-11238.0,-140976.0,-102735.0,-5414.0,-260363.0
Tăng/(giảm) khác,Nguyên giá > Tăng/(giảm) khác,Tăng/(giảm) khác,4.863,(4.167),,(762),(66),4863.0,-4167.0,,-762.0,-66.0
Tại ngày 31 tháng 12 năm 2025,Nguyên giá > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,8.751.818,6.802.593,1.987.119,606.889,18.148.419,8751818.0,6802593.0,1987119.0,606889.0,18148419.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị hao mòn lũy kế > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,(3.686.363),(5.301.071),(1.521.777),(396.321),(10.905.532),-3686363.0,-5301071.0,-1521777.0,-396321.0,-10905532.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,(298.378),(407.041),(142.865),(65.816),(914.100),-298378.0,-407041.0,-142865.0,-65816.0,-914100.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",8.545,140.973,102.735,5.412,257.665,8545.0,140973.0,102735.0,5412.0,257665.0
(Tăng)/giảm khác,Giá trị hao mòn lũy kế > (Tăng)/giảm khác,(Tăng)/giảm khác,(3.428),(1.518),(132),(265),(5.343),-3428.0,-1518.0,-132.0,-265.0,-5343.0
Tại ngày 31 tháng 12 năm 2025,Giá trị hao mòn lũy kế > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,(3.979.624),(5.563.657),(1.562.039),(456.990),(11.567.310),-3979624.0,-5563657.0,-1562039.0,-456990.0,-11567310.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,4.753.710,735.204,426.861,78.683,5.994.458,4753710.0,735204.0,426861.0,78683.0,5994458.0
Tại ngày 31 tháng 12 năm 2025,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,4.772.194,1.233.936,425.080,149.899,6.581.109,4772194.0,1233936.0,425080.0,149899.0,6581109.0
