row_label_raw,row_label_full,Thông tin về Ngân hàng,1 - 2,numeric__1 - 2
Bảo cáo của Ban Điều hành,Bảo cáo của Ban Điều hành,Bảo cáo của Ban Điều hành,3,3.0
Bảo cáo kiểm toán độc lập,Bảo cáo kiểm toán độc lập,Bảo cáo kiểm toán độc lập,4 - 5,
Bảo cáo tình hình tài chính riêng (Mẫu số B02/TCTD),Bảo cáo tình hình tài chính riêng (Mẫu số B02/TCTD),Bảo cáo tình hình tài chính riêng (Mẫu số B02/TCTD),6 - 8,
Bảo cáo kết quả hoạt động riêng (Mẫu số B03/TCTD),Bảo cáo tình hình tài chính riêng (Mẫu số B02/TCTD) > Bảo cáo kết quả hoạt động riêng (Mẫu số B03/TCTD),Bảo cáo kết quả hoạt động riêng (Mẫu số B03/TCTD),9,9.0
Bảo cáo lưu chuyển tiền tệ riêng (Mẫu số B04/TCTD),Bảo cáo lưu chuyển tiền tệ riêng (Mẫu số B04/TCTD),Bảo cáo lưu chuyển tiền tệ riêng (Mẫu số B04/TCTD),10 - 11,
Thuyết minh báo cáo tài chính riêng (Mẫu số B05/TCTD),Thuyết minh báo cáo tài chính riêng (Mẫu số B05/TCTD),Thuyết minh báo cáo tài chính riêng (Mẫu số B05/TCTD),12 - 73,
