row_label_raw,row_label_full,Rùi ro lãi suất (tiếp theo),Rùi ro lãi suất (tiếp theo)_1,Rùi ro lãi suất (tiếp theo)_2,Rùi ro lãi suất (tiếp theo)_3,Rùi ro lãi suất (tiếp theo)_4,Rùi ro lãi suất (tiếp theo)_5,Rùi ro lãi suất (tiếp theo)_6,Rùi ro lãi suất (tiếp theo)_7,Rùi ro lãi suất (tiếp theo)_8,Rùi ro lãi suất (tiếp theo)_9,numeric__Rùi ro lãi suất (tiếp theo)_1,numeric__Rùi ro lãi suất (tiếp theo)_2,numeric__Rùi ro lãi suất (tiếp theo)_3,numeric__Rùi ro lãi suất (tiếp theo)_4,numeric__Rùi ro lãi suất (tiếp theo)_5,numeric__Rùi ro lãi suất (tiếp theo)_6,numeric__Rùi ro lãi suất (tiếp theo)_7,numeric__Rùi ro lãi suất (tiếp theo)_8,numeric__Rùi ro lãi suất (tiếp theo)_9
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Quá hạn,Không chịu lãi,Dưới 1 tháng,Từ 1 tháng đến 3 tháng,Từ trên 3 tháng đến 6 tháng,Từ trên 6 tháng đến 12 tháng,Từ trên 1 năm đến 5 năm,Trên 5 năm,Tổng cộng,,,,,,,,,
Tải sản,Tải sản,Tải sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bac đá quỳ","Tải sản > Tiền mặt, vàng bac đá quỳ","Tiền mặt, vàng bac đá quỳ",,12.437.630,,,,,,,12.437.630,,12437630.0,,,,,,,12437630.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,,35.225.038,,,,,,,35.225.038,,35225038.0,,,,,,,35225038.0
Tiền gửi và cho vay các TCTD khác (*),Tải sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),,,407.355.114,23.690.715,27.017.605,11.290.195,,,469.353.629,,,407355114.0,23690715.0,27017605.0,11290195.0,,,469353629.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tải sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,,,228.448,,,,,,228.448,,,228448.0,,,,,,228448.0
Cho vay khách hàng (*),Tải sản > Cho vay khách hàng (*),Cho vay khách hàng (*),39.044.166,206.097,498.215.925,522.413.835,570.941.177,235.362.507,108.229.298,1.356.208,1.975.769.213,39044166.0,206097.0,498215925.0,522413835.0,570941177.0,235362507.0,108229298.0,1356208.0,1975769213.0
Chứng khoán đầu tư (*),Tải sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),386.778,2.836.166,11.550.000,21.732.000,31.400.000,21.095.000,45.002.455,75.085.356,209.087.755,386778.0,2836166.0,11550000.0,21732000.0,31400000.0,21095000.0,45002455.0,75085356.0,209087755.0
"Gộp vốn, đầu tư dài hạn","Tải sản > Gộp vốn, đầu tư dài hạn","Gộp vốn, đầu tư dài hạn",,5.835.582,,,,,,,5.835.582,,5835582.0,,,,,,,5835582.0
TSCĐ,Tải sản > TSCĐ,TSCĐ,,10.571.366,,,,,,,10.571.366,,10571366.0,,,,,,,10571366.0
