row_label_raw,row_label_full,col_0,31.12.2025 > Tổng giá trị ghi số kế toán(theo tỷ giá ngày 31 tháng 12),31.12.2025 > Tổng giá trị ghi số kế toán(theo tỷ giá ngày 31 tháng 12)_1,31.12.2025 > Tổng giá trị ghi số kế toán(theo tỷ giá ngày 31 tháng 12)_2,numeric__31.12.2025 > Tổng giá trị ghi số kế toán(theo tỷ giá ngày 31 tháng 12),numeric__31.12.2025 > Tổng giá trị ghi số kế toán(theo tỷ giá ngày 31 tháng 12)_1,numeric__31.12.2025 > Tổng giá trị ghi số kế toán(theo tỷ giá ngày 31 tháng 12)_2
,,,Tài sảnTriệu đồng,Công nợTriệu đồng,Số thuầnTriệu đồng,,,
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,301.475,(15.179),286.296,301475.0,-15179.0,286296.0
- Giao dịch kỳ hạn tiền tệ,- Giao dịch kỳ hạn tiền tệ,- Giao dịch kỳ hạn tiền tệ,-,(15.179),(15.179),,-15179.0,-15179.0
- Giao dịch hoán đối tiền tệ,- Giao dịch hoán đối tiền tệ,- Giao dịch hoán đối tiền tệ,301.360,-,301.360,301360.0,,301360.0
- Giao dịch tương lai tiền tệ,- Giao dịch tương lai tiền tệ,- Giao dịch tương lai tiền tệ,115,-,115,115.0,,115.0
Công cụ tài chính phải sinh lãi suất tiền tệ chéo,Công cụ tài chính phải sinh lãi suất tiền tệ chéo,Công cụ tài chính phải sinh lãi suất tiền tệ chéo,-,(57.848),(57.848),,-57848.0,-57848.0
,,,301.475,(73.027),228.448,301475.0,-73027.0,228448.0
,,,31.12.2024,31.12.2024,31.12.2024,31122024.0,31122024.0,31122024.0
,,,Tổng giá trị ghi số kế toán(theo tỷ giá ngày 31 tháng 12),Tổng giá trị ghi số kế toán(theo tỷ giá ngày 31 tháng 12),Tổng giá trị ghi số kế toán(theo tỷ giá ngày 31 tháng 12),,,
,,,Tài sảnTriệu đồng,Công nợTriệu đồng,Số thuầnTriệu đồng,,,
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,18.075,(298.910),(280.835),18075.0,-298910.0,-280835.0
- Giao dịch kỳ hạn tiền tệ,- Giao dịch kỳ hạn tiền tệ,- Giao dịch kỳ hạn tiền tệ,-,(298.910),(298.910),,-298910.0,-298910.0
- Giao dịch hoán đối tiền tệ,- Giao dịch hoán đối tiền tệ,- Giao dịch hoán đối tiền tệ,18.075,-,18.075,18075.0,,18075.0
Công cụ tài chính phải sinh lãi suất tiền tệ chéo,Công cụ tài chính phải sinh lãi suất tiền tệ chéo,Công cụ tài chính phải sinh lãi suất tiền tệ chéo,-,(117.286),(117.286),,-117286.0,-117286.0
,,,18.075,(416.196),(398.121),18075.0,-416196.0,-398121.0
