row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày > 31.12.2025,Năm tài chính kết thúc ngày > 31.12.2024,numeric__Năm tài chính kết thúc ngày > 31.12.2025,numeric__Năm tài chính kết thúc ngày > 31.12.2024
,,,Triệu đồng,Triệu đồng,,
Thuế và các loại phí,Thuế và các loại phí,Thuế và các loại phí,21.576,24.297,21576.0,24297.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,14.842.655,12.167.098,14842655.0,12167098.0
- Chi lương và phụ cấp,- Chi lương và phụ cấp,- Chi lương và phụ cấp,12.201.265,10.147.527,12201265.0,10147527.0
- Các khoản chi đóng góp theo lương,- Các khoản chi đóng góp theo lương,- Các khoản chi đóng góp theo lương,1.071.800,812.880,1071800.0,812880.0
- Chi trợ cấp,- Chi trợ cấp,- Chi trợ cấp,15.578,4.347,15578.0,4347.0
- Chi khác cho nhân viên,- Chi khác cho nhân viên,- Chi khác cho nhân viên,1.554.012,1.202.344,1554012.0,1202344.0
Chi về tài sản,Chi về tài sản,Chi về tài sản,3.032.446,2.765.408,3032446.0,2765408.0
- Chi phí khấu hao TSCĐ,- Chi phí khấu hao TSCĐ,- Chi phí khấu hao TSCĐ,1.111.048,987.307,1111048.0,987307.0
- Chi khác,- Chi khác,- Chi khác,1.921.398,1.778.101,1921398.0,1778101.0
Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,5.679.203,4.780.009,5679203.0,4780009.0
- Công tác phí,- Công tác phí,- Công tác phí,219.493,194.177,219493.0,194177.0
- Chi về các hoạt động đoàn thể của TCTD,- Chi về các hoạt động đoàn thể của TCTD,- Chi về các hoạt động đoàn thể của TCTD,31.238,11.011,31238.0,11011.0
- Chi khác cho hoạt động quản lý,- Chi khác cho hoạt động quản lý,- Chi khác cho hoạt động quản lý,5.428.472,4.574.821,5428472.0,4574821.0
"Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng",1.236.904,1.117.306,1236904.0,1117306.0
,,,24.812.784,20.854.118,24812784.0,20854118.0
