row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Quá hạn > Trên 3 tháng,Quá hạn > Đến 3 tháng,Trong hạn > Đến 1 tháng,Trong hạn > Từ trên 1 tháng đến 3 tháng,Trong hạn > Từ trên 3 tháng đến 12 tháng,Trong hạn > Từ trên 1 năm đến 5 năm,Trong hạn > Trên 5 năm,Tổng cộng,numeric__Quá hạn > Trên 3 tháng,numeric__Quá hạn > Đến 3 tháng,numeric__Trong hạn > Đến 1 tháng,numeric__Trong hạn > Từ trên 1 tháng đến 3 tháng,numeric__Trong hạn > Từ trên 3 tháng đến 12 tháng,numeric__Trong hạn > Từ trên 1 năm đến 5 năm,numeric__Trong hạn > Trên 5 năm,numeric__Tổng cộng
Tải sản,Tải sản,Tải sản,,,11.009.260,,,,,11.009.260,,,11009260.0,,,,,11009260.0
"Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",,,34.431.153,,,,,34.431.153,,,34431153.0,,,,,34431153.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,,,319.141.987,28.122.123,27.599.796,,,374.863.906,,,319141987.0,28122123.0,27599796.0,,,374863906.0
Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),,,98.787.026,417.715.130,657.817.109,209.176.961,281.213.350,1.708.708.589,,,98787026.0,417715130.0,657817109.0,209176961.0,281213350.0,1708708589.0
Cho vay khách hàng (*),Cho vay khách hàng (*),Cho vay khách hàng (*),21.334.431,22.664.582,10.030.944,20.725.530,88.200.000,28.549.000,63.424.811,211.317.063,21334431.0,22664582.0,10030944.0,20725530.0,88200000.0,28549000.0,63424811.0,211317063.0
Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),386.778,,,,,,5.835.582,5.835.582,386778.0,,,,,,5835582.0,5835582.0
"Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",,,,,,,9.745.660,9.745.660,,,,,,,9745660.0,9745660.0
TSCĐ,TSCĐ,TSCĐ,,,4.619.867,11.759.346,10.462.446,1.628.253,12.915.868,41.465.365,,,4619867.0,11759346.0,10462446.0,1628253.0,12915868.0,41465365.0
Tải sản Có khác (*),Tải sản Có khác (*),Tải sản Có khác (*),79.585,,,,,,,,79585.0,,,,,,,
Tổng tài sản,Tổng tài sản,Tổng tài sản,21.800.794,22.664.582,478.020.237,478.322.129,784.079.351,239.354.214,373.135.271,2.397.376.578,21800794.0,22664582.0,478020237.0,478322129.0,784079351.0,239354214.0,373135271.0,2397376578.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,96.401.051,57.395.000,488.053,,,154.284.104,,,96401051.0,57395000.0,488053.0,,,154284104.0
Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,,,262.177.946,2.552.681,2.708.629,,,267.439.256,,,262177946.0,2552681.0,2708629.0,,,267439256.0
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,,,197.906.478,329.113.289,666.105.456,410.133.692,162.176,1.603.421.091,,,197906478.0,329113289.0,666105456.0,410133692.0,162176.0,1603421091.0
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,,,,,,,,,,,,,,,,
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Tiền gửi của khách hàng > Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,,,398.121,,,,,398.121,,,398121.0,,,,,398121.0
"Vốn tài tro, ủy thác đầu tư, cho vay mã","Tiền gửi của khách hàng > Vốn tài tro, ủy thác đầu tư, cho vay mã","Vốn tài tro, ủy thác đầu tư, cho vay mã",,,11.386,41.674,41.674,337.531,1.647.238,2.079.503,,,11386.0,41674.0,41674.0,337531.0,1647238.0,2079503.0
TCTD chịu rủi ro,Tiền gửi của khách hàng > TCTD chịu rủi ro,TCTD chịu rủi ro,,,3.132.230,1.374.620,100.294.020,325.700,46.727.020,151.853.590,,,3132230.0,1374620.0,100294020.0,325700.0,46727020.0,151853590.0
Phát hành giấy tờ có giá,Tiền gửi của khách hàng > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,,,17.955.606,12.213.379,6.449.099,1.328.737,,37.946.821,,,17955606.0,12213379.0,6449099.0,1328737.0,,37946821.0
Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác,,,,,,,,,,,,,,,,
Tổng nợ phải trả,Các khoản nợ khác > Tổng nợ phải trả,Tổng nợ phải trả,,,577.982.818,402.690.643,776.086.931,412.125.660,48.536.434,2.217.422.486,,,577982818.0,402690643.0,776086931.0,412125660.0,48536434.0,2217422486.0
Mức chênh lệch thanh khoản ròng,Các khoản nợ khác > Mức chênh lệch thanh khoản ròng,Mức chênh lệch thanh khoản ròng,21.800.794,22.664.582,(99.962.581),75.631.486,7.992.420,(172.771.446),324.598.837,179.954.092,21800794.0,22664582.0,-99962581.0,75631486.0,7992420.0,-172771446.0,324598837.0,179954092.0
